text_id,text,Anger,Sadness,Disgust,Surprise,Fear,Joy
zulu_1_00001,Bazothathelwa izinyathelo abanogcobho - Ramaphosa,0,0,0,0,0,0
zulu_1_00002,Bayaveva ngengane ekhiyelwe ekilasini ubusuku bonke,2,2,0,0,0,0
zulu_1_00003,Sebeyinkukhu nempaka omrepha baseThekwini,0,0,0,0,0,0
zulu_1_00004,Bamisiwe othisha abajola nomfundi eComTech,0,0,0,2,0,0
zulu_1_00005,Isoka libhokode  intombi yafa iya esikoleni,0,3,0,0,0,0
zulu_1_00006,[IMIBONO] Noma kunjani soze ngiqashe uDaubermann,1,0,0,0,0,0
zulu_1_00007,ITheku likhala ngezigebengu ezinqamula amakhebuli kagesi,2,0,0,0,0,0
zulu_1_00008,Sephukile isethembiso somshado,0,3,0,0,0,0
zulu_1_00009,UZuma engozini yokuvulelwa icala lobugebengu,0,0,0,0,0,0
zulu_1_00010,Kuphela nya ngoNiang nebhola,0,0,0,0,0,0
zulu_1_00011,Abokufika bakhala ngesibhaxu 'samasosha',0,0,0,0,2,0
zulu_1_00012,Isisezithebeni zabalawula ukusetshenziswa kwemithi eyeringi yama-ARV's,0,0,0,0,0,0
zulu_1_00013,Ukuxozela kwaseSaudi Arabia kungase kunyuse intengo kaphethroli,0,0,0,0,0,0
zulu_1_00014,Uchichima injabulo esayiniswa inkampani yase-USA,0,0,0,0,0,3
zulu_1_00015,Owe-ANCYL usocongwe ephuma kokhuleka,0,3,0,0,0,0
zulu_1_00016,Bahlaselwe belele bafunwa imali nemoto,0,3,0,0,0,0
zulu_1_00017,Liqhakazile ikusasa likaMahlambi – Hunt,0,0,0,0,0,0
zulu_1_00018,UMasutha ubalisa ngokujika nelanga engasebenzi,0,2,0,0,0,0
zulu_1_00019,Akajabhanga engatholi neyokubika kumaSama,0,0,0,0,0,0
zulu_1_00020,Bamise yonke into befuna amanzi,2,0,0,0,0,0
zulu_1_00021,Ngeke usuke umfuziselo kaButhelezi,0,0,0,0,0,0
zulu_1_00022,[IMIBONO] Sicela nisicabangele singabagibeli benu,0,0,0,0,0,0
zulu_1_00023,Umunyu kuxolisa umshayeli wetekisi owabulala abangu-15,0,3,0,0,0,0
zulu_1_00024,Sizoyinqoba iLions uma sithembana - Ward,0,0,0,0,0,0
zulu_1_00025,Kwethulwe umkhankaso wokuhlanza amarenki,0,0,0,0,0,0
zulu_1_00026,U-TDK usolwa ngokweba ingoma,0,0,0,2,0,0
zulu_1_00027,Uxhamazelile uhulumeni esibuyisela esigabeni sokuqala,0,0,0,0,0,0
zulu_1_00028,Kuyingozi ukubekezela uthando lube seluse-ICU,0,0,0,0,0,0
zulu_1_00029,Abamabandla abekho msulwa ngokubulawa kwabesifazane,0,2,0,0,0,0
zulu_1_00030,UDax ubonakale ezilolonga neChiefs,0,0,0,0,0,0
zulu_1_00031,Kusuke isidumo befuna amanzi eHarding,3,0,0,0,0,0
zulu_1_00032,Akalahlekile owesifazane ozale izingane ezingu-10: umnyango,0,0,0,3,0,0
zulu_1_00033,‘Sizolungenela ukhetho ngonyaka ozayo’,0,0,0,0,0,0
zulu_1_00034,I-Nehawu ihlabela phambili neziteleka emanyuvesi,2,0,0,0,0,0
zulu_1_00035,Umhlangano ngeDog Style ubhuntshiswe abalandeli,2,0,0,0,0,0
zulu_1_00036,Udonse iso likaBaxter ogijima kwiMaritzburg,0,0,0,0,0,0
zulu_1_00037,Bashise ibhasi nezimoto bebhikisha,3,0,0,0,0,0
zulu_1_00038,Sasisatshwa isikhulu sezimali e-Eskom,0,0,0,0,2,0
zulu_1_00039,Kumbulwa kwembeswa kumculi kamaskandi,0,0,0,0,0,0
