text_id,text,Sadness,Joy,Fear,Anger,Surprise,Disgust
isixhosa_1_00001,Alisekho igqala lomsasazi woMhlobo Wenene,1,0,0,0,0,0
isixhosa_1_00002,USimmy usifuna kuye isithsaba sikaMiss PE!,0,2,0,0,0,0
isixhosa_1_00003,"UReggie oya eTruFM, angemka nembasa kuMhlobo Wenene!",0,2,0,0,0,0
isixhosa_1_00004,Amadoda alala namanye akumngcipheko omkhulu kaGawulayo!,0,0,2,0,0,0
isixhosa_1_00005,Amapolisa aphanda ngetyala lokudutyulwa kubalalwe indoda eMdantsane,2,0,0,0,0,0
isixhosa_1_00006,ISwallows neProgress zilwela iR60 000 kwiSuper 14,0,0,0,0,0,0
isixhosa_1_00007,Umdlalo ophakathi kweSundowns neBarcelona uvunyiwe yiPSL!,0,2,0,0,0,0
isixhosa_1_00008,Iswelekile inkwenkwe ebiphila ngokungqiba,2,0,0,0,0,0
isixhosa_1_00009,"#Qoboqobo: Asifuni mbumbulu, sifuna iimpendulo",0,0,0,2,0,0
isixhosa_1_00010,Obelahlekile ufunyenwe esisidumbu emlanjeni!,2,0,0,0,0,0
isixhosa_1_00011,Ubumenye-menye beekhamera kwilokishi yaseDimbaza!,0,0,0,0,0,0
isixhosa_1_00012,Inkolo yemveli ilwa ubuKrestu,0,0,0,0,0,0
isixhosa_1_00013,Uvavanyo: 2016 Jaguar XE 20d R-Sport,0,0,0,0,0,0
isixhosa_1_00014,Abahlali baseZiphunzana bavuyele ukutyelelwa nguRamaphosa,0,3,0,0,0,0
isixhosa_1_00015,UDema ugqejwe iR6000 nguMasingcwabane,2,0,0,0,0,0
isixhosa_1_00016,UDesiree Ellis uchulumanciswe sisikhundla sakhe esitsha,0,2,0,0,0,0
isixhosa_1_00017,Igalelo likaClive Barker soze lilityalwe ebholeni yaseMzantsi Afrika!,0,2,0,0,0,0
isixhosa_1_00018,UMotsoeneng uzakudibana nabachasi bolawulo lakhe,0,0,0,0,0,0
isixhosa_1_00019,USesona Tshume uzithaphulele iimbasa kwitumente yemithambo eGqeberha,0,3,0,0,0,0
isixhosa_1_00020,"Libhaqwe lihamba ze, libhubhile ixhegwazana",3,0,0,0,0,0
isixhosa_1_00021,Ziya zisanda iziphakamiso zokuphucula ukhuseleko ecaleni konxweme laseGqeberha | EC Indab,0,1,0,0,0,0
isixhosa_1_00022,Uza kubuyela ekhaya uLudumo Lamati kungekudala,0,2,0,0,0,0
isixhosa_1_00023,Inkqubo yokufukamisa amashishini eCala,0,0,0,0,0,0
isixhosa_1_00024,Ibhunga loosomashishini baseBhayi linebhodi entsha,0,1,0,0,0,0
isixhosa_1_00025,Umbutho weqakamba ufuna abadlali abamnyama,0,1,0,0,0,0
isixhosa_1_00026,Igqala lomzabalazo liye kwamanye amagqala,0,0,0,0,0,0
isixhosa_1_00027,Alinikwanga bheyile isela leegusha kuCentane,0,1,0,0,0,0
isixhosa_1_00028,"Uhamba nini uMakhulu, tat’uMnci?",0,0,0,0,0,0
isixhosa_1_00029,IDA ilwa isilalo semisebenzi!,0,0,0,1,0,0
