text_id,text,Disgust,Fear,Joy,Sadness,Surprise,Anger
pidgin_1_00001,no jersey my brother the way una dey ask for jersey e be like say una want make dem run out of business later in the year who knows lets keep fingers crossed i went there for danielle de rossi and i am so glad it was powerful no worry ac milan go make top,1,0,2,0,0,0
pidgin_1_00002,yes maam you know the traffic just de reduce nah why i reach now,0,0,0,0,0,0
pidgin_1_00003,no be boy dem just born wetin these rich kids dey chop,0,0,0,0,2,0
pidgin_1_00004,guy why you just dey speak wetin dey my heart i love it,0,0,3,0,1,0
pidgin_1_00005,lekki toll gate don turn him own city like this oh people don set camp for there to commot after the protest go come hard,0,0,0,0,1,0
pidgin_1_00006,fine boy wey kon sabi sing again wetin you need again,0,0,1,0,0,0
pidgin_1_00007,weekend came early i design engagement beaded jewelry for couples and we dey set ham well make e sit kampe on outfits kindly help rt my customers might be in your tl thanks,0,0,0,0,0,0
pidgin_1_00008,happy birthday to you wish u long life and plenty moneyenjoy your dayand please no dey as u dey for dis pics today oooo make u do ur face well oga happy birthday once again,0,0,2,0,0,0
pidgin_1_00009,my bestie is off the market na countdown we de now to nov peep what the husband to be has to say about the matter if e be u wetin u go do congratulations ndi nke m new bestie needed apply within fun guaranteed,0,0,2,0,0,0
pidgin_1_00010,i don finally register for gym oo na when summer dey end i wan start my summer body loading,0,0,1,0,0,0
pidgin_1_00011,we nor dey taya oooi love wizkid essence video be wan restrict my period flow but becos na wizzy he still flow,0,0,3,0,0,0
pidgin_1_00012,if to say i be matter wey dey sup i for don enter trend table now i got some more juice for the next days guys ‍️️ thanks to yall imma keep being your and,0,0,2,0,0,0
pidgin_1_00013,u people should pls stop acting dis way u don pass dis level of abusing each other relaxchill and continue chasing ur dreams pls,1,0,0,0,0,0
pidgin_1_00014,na small be this wey don ready for them i love this,0,0,1,0,0,0
pidgin_1_00015,baba don dey torment us with im jam chaiiimake i increase my speaker abeg,0,0,2,0,0,0
pidgin_1_00016,good no one tagged me to this today una don dey forget thanks,0,0,1,0,0,0
pidgin_1_00017,waking up to dis cuteness pikin wey fine like dis ️,0,0,3,0,0,0
pidgin_1_00018,no be wetin sha na person na my mama n im happy n proud,0,0,3,0,0,0
pidgin_1_00019,unplanned matching day e be like say my tailor don dey run my material for my patients too lagos island,0,0,0,0,1,0
pidgin_1_00020,congratulations bro wey picture wey you and senior man snap i wan update my wallpaper abeg,0,0,2,0,0,0
pidgin_1_00021,we the aaswe no dey select genotypena dem dey rush us,0,0,1,0,0,0
pidgin_1_00022,im not understanding its only fades bikini that feels like years don waka the body remains the same,0,0,0,0,1,0
pidgin_1_00023,yess me im dancing now sef and you too yoma,0,0,2,0,0,0
pidgin_1_00024,in all honesty eh that your pinned picture no day wey i no dey look ham i lost totally when your tweet first came to my tl im like what,0,0,0,0,2,0
pidgin_1_00025,e get one blue jeans wey dey make every woman set or is it my love for blue anyways i love to see it blue is such a vibe,0,0,2,0,0,0
pidgin_1_00026,i don dey love you for a long time my boy e be like say you no know say i care i wish you knew what im feeling for you darling youre so extraordinary and thats no ordinary thing and they kill killed and keilt it,0,0,2,0,0,0
pidgin_1_00027,for the love of song need you let complete the song ill start you sweet pass mango you sweet pass agbalumo no know where i wan go omo mi o ma gbadun mo na only you fit heal me baby dont go ooo urs,0,0,2,0,0,0
pidgin_1_00028,hot sale️ abeg see customers review e dey gimme joy come and get yours tasted and trusted polo old gra maiduguri,0,0,3,0,0,0
pidgin_1_00029,i will go to this law school very soon una don dey push me thank you sir,0,0,0,0,0,0
pidgin_1_00030,lmao me wey been dey think say na something dey do me,0,0,0,0,2,0
pidgin_1_00031,lol im good maka we suppose link up òooo e don tey,0,0,0,0,0,0
pidgin_1_00032,ill probably cry when they play time flies siwezi kuwacha rhumba as i dey dancey jagajaga to my raga dem dey feel am,0,0,1,0,0,0
pidgin_1_00033,todays news on ordinary things still dey move me one of my roommates told me he envies my teeth arrangement and how white they are ordinary compliments like this still dey move me nah why i say i must tell una thank you,0,0,2,0,2,0
pidgin_1_00034,me sef dey pray say make the money come quick oo make guys enjoy how your syd my oga,0,1,0,0,0,0
pidgin_1_00035,dear biggie please erica and kiddwaya are innocent we plenty for this their bestieship please o have pity on them na love dem love o dem no tiff god bless you daddy biggie,0,0,0,2,0,0
pidgin_1_00036,unbeatable starworld thanks for the patronage honey bunch my abuja pepper dem hang owambe ladies where una dey o,0,0,2,0,0,0
pidgin_1_00037,the song don dey repeat elite music thank god for adekunle gold i for dey find who sing which verse between those other two,0,0,2,0,0,0
pidgin_1_00038,congratulations baba on your appointment when you geh chance enter abk lets chill at oopl we may see chance see baba say e don tey wey he write letter more blessing baba,0,0,3,0,0,0
pidgin_1_00039,seeing my guys win gives me joy being the plug gladdens my heart more before i so to god love to for being the grid you dey make big things sup oluwa na u be d chief handler wey no get handle,0,0,3,0,0,0
pidgin_1_00040,i dey like dis vee action dey always sweet mena only one kiss go solve all dis oh,0,0,2,0,0,0
pidgin_1_00041,dude the way you dey deliver sub na you build uk subway o,0,0,0,0,3,0
pidgin_1_00042,i jus dey see online say kevin hart don notice one naija boyu don hear am too,0,0,0,0,2,0
pidgin_1_00043,abegg make una tell me how god no go bless this lady‍️️ babes that can cook very well may allah bless u all with good husbands those of una wey still dey learn kuma make una learn finish first kuma zaku samu rabonku,0,0,3,0,0,0
pidgin_1_00044,this one described the love of my life please add beauty wey dey blind eye my woman na spec️,0,0,2,0,0,0
pidgin_1_00045,i don shoot my shot na you be the reward na me win your heart oh i go claim all your love i go claim all your oh i will definitely sing this to the loml very soon,0,0,3,0,0,0
pidgin_1_00046,goodmorning my beautiful people of god take a minute to thank god for the gift of life na who dey alive dey hustle o stay blessed,0,0,2,0,0,0
pidgin_1_00047,you dey mad oh na now you dey tell me eh sha dey come house i dey cook,1,0,0,0,0,0
pidgin_1_00048,this quick credit song sweet sha why dem no release am when bbn still dey on sef people go sabi am well,0,0,2,0,0,0
