text_id,text,Anger,Joy,Disgust,Sadness,Surprise,Fear
igbo_B1_00001,“Fairrary” gbuo gị ebe ahụ. https://t.co/8YPt151HWL,3,0,0,0,0,0
igbo_B1_00002,@2niteFlavour Ijele 1 nah Uwa niile. God bless. We meuveeee,0,2,0,0,0,0
igbo_B1_00003,"@its_bugatti Ike Oraifite odogwu Nwa, daalu",0,3,0,0,0,0
igbo_B1_00004,Onye oshi! Onye ara! https://t.co/yIRYORLRRw,2,0,0,0,0,0
igbo_B1_00005,@user Huge congrats nwoke ọma. Jisike.,0,3,0,0,0,0
igbo_B1_00006,"@gracious_decent Adịghị m njọ, ịdị na-eme ihe https://t.co/MzfARmxHh8",0,0,0,0,0,0
igbo_B1_00007,daddy ekele m gi na ihe oma niile imeere anyi nonwa gara aga otito niile diri gi mpa anyi ario gi biko nye anyi ngozi na oga niru nonwa nke a anyi bara nime ya gozie umu nnem na umu nnam bye anyi oganiru anyi ario gi,0,3,0,0,0,0
igbo_B1_00008,@dnyere1 Hapu ha! Ndia anaghi eji Uche ha ekwu okwu.,2,0,2,0,0,0
igbo_B1_00009,@kingsleynovich Haha. Ahu ntakịrị,0,0,0,0,0,0
igbo_B1_00010,@user @user Ike gwuru ooooo,0,0,0,3,0,0
igbo_B1_00011,@EsterOnyinye ndu adighi nma 😭,0,0,0,2,0,0
igbo_B1_00012,"Happy Birthday day Nwanyi Oma, Ka onye nwe anyi gozie gi ta, na ngbe nile Amen. @user",0,3,0,0,0,0
igbo_B1_00013,@user Onye mgbu. Rie nsi,3,0,0,0,0,0
igbo_B1_00014,"@maxfrank09 Lol 😂 Adikwa free oh! Buh, o ndi nkem",0,0,0,0,0,0
igbo_B1_00015,"@user #Mgp.. Ututu oma Ndi be anyi, ofu Asusu gamasim imuta bu asusu Yoruba maka na ya bu asusu na-agbakam isi Oge obuna Ana asu ya",0,3,0,0,0,0
igbo_B1_00016,@dedonnse The man wu onye iberibe,0,0,2,0,0,0
igbo_B1_00017,daalụ sọ nwanne mmadụ,0,3,0,0,0,0
igbo_B1_00018,@user Umu oma. Chukwu gozie ha.,0,3,0,0,0,0
igbo_B1_00019,@ebukaamadi N'na eh Eziokwu bu ndu! 😂😂😂😂😂😂,0,2,0,0,0,0
igbo_B1_00020,@user @user As ọjị amụ eme ọjịi,0,0,2,0,0,0
igbo_B1_00021,@AfamDeluxo Guy arụ adirọ gị 🤣🤣🤣🤣,0,0,2,0,0,0
