text_id,text,Anger,Joy,Sadness,Surprise,Fear,Disgust
kinyarwanda_1_00001,"Ati “Ndashaka nihere ubutumwa inshuti yanjye Jean Fidèle, ndashaka nkubwire ko bitamvuye mu mutwe igihe wishimaga ibyishimo byanjye.",3,0,0,0,0,0
kinyarwanda_1_00002,"Bahatanye kuva ku karere abahize abandi bakomeza ku ntara, uko umuntu arenga icyiciro akagira amafaranga agenerwa.",0,2,0,0,0,0
kinyarwanda_1_00003,Me André-Martin Karongozi yabwiye IGIHE ko urukiko rwatangaje ko Biguma yakoresheje imbaraga zikomeye mu kwica abantu kandi akabica nabi akoresheje Mortier 60.,0,0,3,0,0,0
kinyarwanda_1_00004,"Hari aho aririmba ati “Amarangamutima, intekerezo zanjye ni wowe gusa nifuza guhorana nawe.’’",0,1,0,0,0,0
kinyarwanda_1_00005,Urubyiruko rukurikiwe n’abakuru rwari rufashe ibyapa berekeza ku nzu Mberabyombi y’Umujyi wa VEJLE.,0,0,0,0,0,0
kinyarwanda_1_00006,"Ati “Ntiturabona imiti ikora neza, gusa kugira ibyiringiro ni byo by’ingenzi.",0,0,0,0,2,0
kinyarwanda_1_00007,"Umuyobozi Mukuru Wungirije wa UNDP mu Rwanda, Varsha Redkar Palepu yashimye ubuyobozi bw’u Rwanda burangajwe imbere na Perezida Kagame.",0,3,0,0,0,0
kinyarwanda_1_00008,"Mu gihe twizihiza uku kwezi ko Kwibohora, dukwiriye kumva ko kurera ari ingenzi cyane mu kugena ahazaza h’igihugu cyacu.",0,0,0,0,0,0
kinyarwanda_1_00009,"""Nk’uko byakozwe umwaka ushize, turi mu murongo wo gukumira ibyaha habungabungwa umutekano uteza imbere imibereho myiza y’Abanyarwanda mu iterambere rirambye.""",0,0,0,0,0,0
kinyarwanda_1_00010,"Nubwo amakipe menshi yagaragaje guhatana cyane muri uyu mwaka, ntawakwirengagiza akazi k’abakinnyi bo hagati kuko ari bo bagize uruhare mu ntsinzi amakipe yabo yabonye.",0,0,0,0,0,0
kinyarwanda_1_00011,Ati “Nibinaba ntabwo nzashakana n’umuntu uzwi.,0,0,0,0,2,0
kinyarwanda_1_00012,Ish Kevin avuga ko iyi album isobanuye byinshi kuri we dore ko zimwe mu ndirimbo ziyigize ziganjemo izigaruka kubyo yanyuzemo byamuhaye amasomo yatumye aba uwo ariwe kugeza ubu.,0,3,0,0,0,0
kinyarwanda_1_00013,Yagize ati “Ni amazi aturuka mu mirenge ya ruguru y’Akarere kacu; yaje ubona ari make ariko bigaragara ko yagiye yiyongera.,0,0,2,0,0,0
kinyarwanda_1_00014,Icyo gihe umutwe w’Umurangangoma w’ingoma ye wari Ingabo zitwaga “Abaganda”.,0,0,0,0,0,0
kinyarwanda_1_00015,Ibihugu bitandukanye bimaze iminsi bigaragaza gushakisha andi mafaranga yo kwifashisha mu bucuruzi mpuzamahanga aho kurambiriza ku idolari.,2,0,0,0,0,0
kinyarwanda_1_00016,"Aba bakinnyi bombi bakina hagati bafasha abataha izamu bari baricajwe n’abarimo Ruboneka Jean Bosco, Mugisha Bonheur, Manishimwe Djabel na Kwitonda Alain Bacca.",0,0,0,0,0,0
kinyarwanda_1_00017,"— Mazima Uganda (@mazimaug) June 1, 2023",0,0,0,0,0,0
kinyarwanda_1_00018,"Mbonimpa Jean Damascène wo mu Murenge wa Mugunga we yagize ati ""Abarwayi bose hano baraza bakabakira, nanjye naje uyu munsi nzanye umubyeyi wacu, bamwakiriye neza.",0,3,0,0,0,0
kinyarwanda_1_00019,12:10: Umunyamabanga wa FERWAFA asabye abantu biyongera kuri Habyarimana ufitiwe icyizere.,0,0,0,0,0,0
kinyarwanda_1_00020,"Hari ingingo iherutse kungwa mu gutwi, impa igitekerezo cyo kwitegereza no kwerekeza ibiganza kuri mwandikisho ya mudasobwa, ngo mbasangize bimwe mu binengwa mu bukwe bw’ubu, bibera mu muhango wo gusaba no gukwa, bikeneye gukosorwa ngo bijyane n’igihe kandi bititaruye Umuco Nyarwanda.",1,0,2,0,0,0
kinyarwanda_1_00021,"Hôtel des Mille Collines ni imwe muri hoteli zigira abakiliya benshi, bayikundira serivisi itanga kuva hambere, kandi hejuru ya 90% igakoresha ibintu bituruka mu Rwanda.",0,3,0,0,0,0
kinyarwanda_1_00022,Amakipe yose aregeranye buri imwe yatsinda indi n’amakipe ahangana cyane by’umwihariko gutsindira hanze biba bigoye.”,0,0,0,0,0,0
kinyarwanda_1_00023,“Ntabwo twibuka kugira ngo abanyamahanga batugirire impuhwe kubera ibyo twaciyemo ahubwo tuba dushaka kumenyekanisha ukuri ku byabaye igihe cya Jenoside yakorewe Abatutsi kandi dutanga ubutumwa ko niba abantu batitonze bakima amatwi ibyagwiririye u Rwanda byakongera bikaba ahari ho hose ku Isi.”,3,0,0,0,2,0
kinyarwanda_1_00024,"— THUGGA (@THUGGABEY) June 4, 2023",0,0,0,0,0,0
kinyarwanda_1_00025,"Gutsindwa kwabo mu Burasirazuba bwa Congo niko kwateje ibi bibazo byose, none bamaze kubona amazi yarenze inkombe batangiye kubitugerekaho.",3,0,0,0,0,0
kinyarwanda_1_00026,"Ibitaro byaraje biradufasha, nk’ubu nageze hano nka saa Moya, narangije gutanga ibizamini no guca mu cyuma.",0,3,0,0,0,0
kinyarwanda_1_00027,"Ati ""Ntabwo FPR Inkotanyi bari bafite intwaro zahagarika Jenoside yakorerwaga Abatutsi, Ingabo zari nkeya n’ibikoresho byari bike, icyatumye bishoboka ni ubushake.",0,3,0,0,0,0
kinyarwanda_1_00028,Ubu rero narabibonye ni igihe cyiza cyo kujya mu bundi buzima nkareba naho ibihari.,0,0,0,0,0,0
kinyarwanda_1_00029,Nyuma yo kugobokwa n’abagiraneza uyu muhanzi yahise agaruka ku mbuga nkoranyambaga atangiza ubukangurambaga bwo gukusanya inkunga yo kuvuza umubyeyi we.,0,2,2,0,0,0
kinyarwanda_1_00030,"Umwe mu bantu b’ingenzi muri icyo gikorwa ni uzwi nka Suhayl Salim Mohammed Abdelrahman alias Bilal al-Sudani, umwe mu bayobozi ba Da’esh muri Somalia, ukuriwe na Yusuf Abulqadir Mumin, uyobora uwo mutwe.",0,0,0,0,0,0
kinyarwanda_1_00031,Icyakora bitandukanye no mu bihe byashize kuri ubu abahanzi bo muri Afurika biganjemo abo muri Nigeria bamaze kuyigira akarima kabo.,0,0,0,0,0,0
kinyarwanda_1_00032,na Banki y’Isi bigena ibipimo ngenderwaho mu gupima umwenda w’igihugu niba uzabasha kwishyurwa cyangwa ari umutwaro uremereye.,0,0,0,0,0,0
kinyarwanda_1_00033,"Mu itangazo iyi Minisiteri yashyize hanze, yavuze ko yiteguye kwakira abashoramari bashya muri uyu mushinga.",0,2,0,0,0,0
kinyarwanda_1_00034,Iyo urebye uko imibereho ihagaze nta hantu bakura amafaranga ubona ari ikibazo.,0,0,3,0,0,0
kinyarwanda_1_00035,"Nibyo koko Beijing ni umujyi mwiza, uteye imbere, urangwa n’isuku n’ikoranabuhanga, ariko niba ukiri mu myaka y’urubyiruko ubuzima bwaho bushobora kutakuryohera.",0,0,0,0,2,0
kinyarwanda_1_00036,"Ati “Twiteze ko hazaboneka abana benshi kandi bihindure na sosiyete n’ubuzima bw’abacuruzi kuko hazaba harimo isoko no kwamamaza ibikorwa byabo, nubwo ari ubwa mbere igiye kuba ariko twifuza ko yazajya iba ngarukamwaka.”",0,2,0,0,0,0
kinyarwanda_1_00037,Ngiye gushyira imbaraga mu buhinzi bw’umwuga n’ubworozi ku buryo ntaba ikibazo kuri Leta ahubwo nzabe igisubizo”.,0,3,0,0,0,0
kinyarwanda_1_00038,Ati “Ikoranabuhanga ni ryiza.,0,2,0,0,0,0
kinyarwanda_1_00039,Ati “Nta wutaka atababaye.,0,0,2,0,0,0
kinyarwanda_1_00040,"Jenoside yakorewe Abatutsi imaze guhagarikwa, nibwo yasubiye mu mashuri.",0,3,0,0,0,0
kinyarwanda_1_00041,"Bagiye bakorera imishinga mu matsinda, ni ukuvuga ngo bafite amatsinda atandukanye, muri ayo matsinda rero bazajya bakomeza bakorane kugira ngo bashake ibisubizo.’’",0,2,0,0,0,0
kinyarwanda_1_00042,Iyo imbuto itabonetse mu ntangiriro ngo ibe yujuje ubuziranenge usanga ari ikibazo.’’,0,0,0,0,2,0
kinyarwanda_1_00043,Mukagaya Claudine utuye mu Rugando yavuze ko yanejejwe no kuba yitabiriye siporo akabona n’abamutekerezaho bakamuha impano nk’umubyeyi.,0,3,0,0,0,0
kinyarwanda_1_00044,Yavuze ko mbere y’icyo gihe mu bitabo by’Abakoloni babitaga aba-Rwanda kuko “babonye abantu bafite inka z’amahembe maremare nk’Abanyarwanda.”,0,0,2,0,0,0
kinyarwanda_1_00045,Guhabwa ubuzima bw’umwaka wose ukabuhabwa ku gihe ni ikintu gishimishije.”,0,3,0,0,0,0
kinyarwanda_1_00046,Nta kabuza ko nagombaga gusimbukira mu Gisimenti cya Tumba ariko mu minsi IGIHE yahatembereye yasanze ari nka kimwe cya Remera.,0,0,0,0,0,0
kinyarwanda_1_00047,"Yari kumwe n’Umuyobozi w’Urugaga rw’Abahinzi-Borozi, Imbaraga, Munyakazi Jean Paul, Umuyobozi ushinzwe Ubugenzuzi mu Kigo gishinzwe Ubugenzuzi, Ihiganwa mu Bucuruzi no kurengera umuguzi, Niragire Ildephonse n’Umuhinzi, Kantesi Odette.",0,0,0,0,0,0
kinyarwanda_1_00048,"Habanabakize Thomas, Umukuru w’Umudugudu w’Akinyange mu Kagari ka Karubungo mu Murenge wa Gitoki, yishimiye igare rishya yahawe avuga ko rigiye kumufasha kugera ku baturage mu buryo bworoshye ndetse rikanamufasha gutanga serivisi nziza.",0,3,0,0,0,0
kinyarwanda_1_00049,"Imodoka yayishyikirijwe saa yine zirengaho iminota ni ukuvuga nyuma y’amasaha atandatu, abanyamakuru bategereje isinywa ry’amasezerano.",0,2,0,0,0,0
kinyarwanda_1_00050,I am deeply saddened by the loss of Tina Turner.,0,0,0,0,0,0
kinyarwanda_1_00051,"Aba baturage bakomeje bavuga ko muri ako kanya ngo muri ako kabari hinjiye undi musore wari uvuye hanze na we wari wasinze aje gushungera, umwe mu barwanaga yahise amutera umutwe ndetse n’itafari mu mutwe agwa hasi.",0,0,3,0,0,0
kinyarwanda_1_00052,"Yakomeje agira ati “Uyu mudali ushushanya ugushima kwacu ku kuba iteka ushyira Afurika imbere, ibintu bituma gahunda z’u Rwanda nazo zitera imbere.",0,3,0,0,0,0
kinyarwanda_1_00053,Umutekano muke ukaba waratumye kwandika abantu kuri lisiti y’itora bidashoboka.,0,0,3,0,0,0
kinyarwanda_1_00054,Asaba ibihugu guhaguruka bigafatanya n’u Rwanda mu guta muri yombi abakekwaho kugira uruhare muri Jenoside yakorewe Abatutsi bakomeje kwihishahisha mu bice bitandukanye.,3,0,0,0,0,0
kinyarwanda_1_00055,Yagize ati “Turashishikariza abanyeshuri kwitabira iyi gahunda kuko ibongerera ubumenyi mu by’iterambere ry’ikoranabuhanga rya interinet.,0,0,0,0,0,0
kinyarwanda_1_00056,"Icyo ni ikibazo tugomba kwibaza, ndetse dukwiriye kwibaza turi bato kugira ngo dukure dushaka igisubizo cy’icyo kibazo.”",0,0,0,0,0,0
kinyarwanda_1_00057,"Mu gihe wicaye muri uyu mwanya, ushobora kubona ahantu uramburira amaguru ariko akazigo kawe ugirwa inama yo kukabika ahabugenewe mu gice cyo hejuru.",0,0,0,0,0,0
kinyarwanda_1_00058,Yagize ati “Twakiriye ubutumwa buteye inkeke ariko kubera uburemere bw’iki kibazo nta byinshi dushaka kukivugaho mu rwego rwo kurengera abarebwa na cyo barimo abana bakiri bato.”,0,0,0,0,3,0
kinyarwanda_1_00059,"Mu bakobwa ni Nishimwe Carine na Tuyishimire Rona batsinze Abahindekazi Ishi Maheshwari na Diya Tamse 7-6(13) 6-4, bakazahura n’Umunya-Tanzania Shana Martin Mao ukinana n’Umunya-Ghana Sisu-Makena Tomegah.",0,0,0,0,0,0
kinyarwanda_1_00060,Nko muri Mata yavuze ko imbwa ari yo isigaye iyobora Twitter.,3,0,0,0,0,0
kinyarwanda_1_00061,"Ni abantu ubona ko bifashije ariko yatwitse inzu ye agamije guhima umugore"".",0,0,3,0,0,0
