text_id,text,Anger,Disgust,Sadness,Joy,Fear,Surprise
hausa_1_00001,ku tsoro kukeji ne da kuka fidda kanku zakuce wani inji yan twitter dan uwarku yan bbchausan boro uba,3,1,0,0,0,0
hausa_1_00002,"Ae kamata yayi ma su janye tallafinsu gaba ɗaya a kan Najeriya, kamar yadda Ita ma lanjeriyas bata iya tallafawa ƴaƴanta 👌",1,0,1,0,0,0
hausa_1_00003,APC na da kyakyawar makoma a Kudu maso gabas - Ohanaeze,0,0,0,2,0,0
hausa_1_00004,Dan shekara 78 ya kashe dan'uwansa mai shekaru 94 kan rikicin fili a Ondo,0,2,1,0,2,0
hausa_1_00005,"Obasanjo ya yi addu'ar Allah ya ɗauki ransa: Na ga uku, bana addu'ar ganin Olu na Warri na huɗu",0,0,2,0,0,1
hausa_1_00006,"Very unfortunate! Dama ai mafi yawan su, suna amfani da wannan damar ne domin suci zarafin talaka ! Saboda ni shaida ne akan irin wannan mummunar d'abi'ar ta mafi yawan jami'an tsaron kasar nan, samun damar shigar su aikin tsaro tamkar lasisin cin zarafi ne😡",3,0,0,0,0,0
hausa_1_00007,"Kullu nafsin: Bayan shekaru 70 yana sallah a bayan limamin Ka'aba, Allah ya karbi rayuwarsa",0,0,3,0,0,0
hausa_1_00008,au da shi gogarman ya yarda 😂😂😂 ganduje mai abun mamaki,0,0,0,0,0,2
hausa_1_00009,"Harin makarantar Kebbi abun damuwa ne, barazana ne ga tsaro a arewa maso yamma – El-rufai",0,0,0,0,3,0
hausa_1_00010,"Zancen karya kawai, basa ko jin tsoron Allah yana kallon su.🤔",3,0,0,0,0,0
hausa_1_00011,Gwamnonin Arewa sun yi Allah-wadai da hare-haren da aka kai Kudancin Kaduna,0,2,2,0,0,0
hausa_1_00012,"ba kyau😂😂😂, wai Maza MATSOLAYE. https://t.co/K5ba5SCIi3",0,0,0,1,0,0
hausa_1_00013,Gwamnatin Najeriya Tayi Bayani a Kan Wahalar Abincin Da Ake Cewa Za Ayi a 2023,0,0,0,0,0,0
hausa_1_00014,"Lauyan da yayi murnar mutuwar Kyari da Funtua, da fatan mutuwar Buhari ya rasu",0,0,2,0,0,2
hausa_1_00015,An ƙirƙiri cutar korona saboda a haifar da tsoro da firgici a tsakanin mutane,1,0,1,0,2,0
hausa_1_00016,Allah ya taimakeki ya qara daukaki. Wannan farin cikin arewa ne sosai kuma Alhamdulillahi naga duk caligraphy din masu haskaka zuciya ne gaskiya am happy 😊,0,0,0,3,0,0
hausa_1_00017,Wani Saurayi yayi wa Matan Garin Matazu a Jihar Katsina abin alheri,0,0,0,3,0,0
hausa_1_00018,"Yanzu-yanzu: An saki ASD, 'Dansa, Surukinsa, da Sheikh Murtala Al-Misry",0,0,0,2,0,0
hausa_1_00019,Yanzu-yanzu: Allah ya yiwa mahaifin Ali Nuhu rasuwa,0,0,3,0,0,0
hausa_1_00020,Alamomi 5 dake nuna yawan sukari sosai a jikin dan Adam,0,0,0,0,0,0
hausa_1_00021,Subuhanallah shugavanin nigeria kuji tsoron allah 😭😭,0,0,3,0,0,0
hausa_1_00022,Ali Nuhu da jerin fitattun jarumai da su ka taya Buhari murna,0,0,0,2,0,0
hausa_1_00023,"Allah ya yiwa limamin kasar Ebira, Alhaji Musa Galadima, rasuwa",0,0,3,0,0,0
hausa_1_00024,"An gudanar sa Sallar jana'izar jarumin soja, Manjo MM Hassan",0,0,3,0,0,0
hausa_1_00025,"Da duminsa: Allah ya yiwa Dan Iyan Zazzau, Alhaji Yusuf Ladan, rasuwa",0,0,3,0,0,0
hausa_1_00026,"Janar Babangida na murnar cika shekaru 77 yau, karanta wani bangare na tarihinsa",0,0,0,2,0,0
hausa_1_00027,"Fitacciyar Jarumar Fim, Fatima Sa'id Ta Riga Mu Gidan Gaskiya",0,0,3,0,0,0
hausa_1_00028,‘Yan garin Atiku sun yi murna da titin da gwamnatin Buhari zata yi musu,0,0,0,3,0,0
hausa_1_00029,Tashin hankali: 'Yan ruwa sun kashe budurwa a lokacin da ake yi mata wankan shiga addinin Kirista,0,0,2,0,2,2
hausa_1_00030,wannan ai hine sama murna kasamurna,0,0,0,3,0,0
hausa_1_00031,"Abba Kyari ya sha da kyar, saura kiris masu fushi da shi su hallaka shi a gidan yari",0,0,0,0,2,0
hausa_1_00032,"Allah ya yiwa babban kwamandan Agaji na kungiyar Izala ta kasa, Malam Lawan Sauri, rasuwa",0,0,3,0,0,0
hausa_1_00033,Abeg suyi su dawo abi sai mun hada da protest?🤣,1,0,0,0,0,0
hausa_1_00034,Rahma kina burgeni wllh kuma inason films dinki burina Inganki ido da ido zanyi murna sosai💃💃,0,0,0,3,0,0
hausa_1_00035,Gardin Malamin da ya jawo aka datse hannayen almajirin sa ya gamu da fushin kuliya,2,0,0,0,0,0
hausa_1_00036,"Mu gyara zukatan mu, muso junan mu mu dena raina namu mu dena fifita nasu, muji sune bayin mu da zamu yi musu mu'amala me kyau kaga babu jin tsoro kai magan agaban uban kowa da yaren ka shine cinyewa, namu namu ne bare kuwa can ya karata HAUSA FULANI ASAMAN KOWA✊🏼✊🏼✊🏼✊🏼✊🏼",0,0,0,0,0,0
hausa_1_00037,"Da Ɗuminsa: Allah Ya Yi Wa Ɗan Mai Cibiyar Markaz, Sheikh Adam Abdullahi Rasuwa",0,0,3,0,0,0
hausa_1_00038,Tarihin Mai martaba Sarkin Zazzau Alhaji Shehu Idris,0,0,0,0,0,0
hausa_1_00039,Wannan da gani bashi da wayo🤭,0,0,0,0,0,0
hausa_1_00040,Innalillahi Wa'inna Ilaihi Raji'un: Usman Abubakar yayi luwadi da 'ya'yan uban gidanshi su 10 a jihar Sokoto,0,3,0,0,0,0
hausa_1_00041,Yan maiduguri suna taya kowa murnan shigowa system na rashin wuta 🤗🤗,0,0,0,1,0,0
hausa_1_00042,aslm ya allah ka kawo wa alummar annabi muhammad saw dauki ka sassauta mana ya allah kai mana maganin damuwar mu alfarmar wannan watan na ramadan na annabi yace amin,0,0,2,0,0,0
hausa_1_00043,"😂😂😂 toh Oga Director , muna ma fatan alkhairi, ba mamaki gayyatar na nan tafe",0,0,0,3,0,0
hausa_1_00044,IKON ALLAH! Wata mata mai shekaru 72 ta haihu a wannan jihar ta Arewa,0,0,0,0,0,3
hausa_1_00045,Da Dumi-Dumi: Allah ya yi wa ƙanin Aliko Dangote rasuwa,0,0,3,0,0,0
hausa_1_00046,"Ban San Adadin Mutanen Da Na Kashe Ba, In Ji Aliyu, Dan Shekara 24 Da Ake Zargi Da Fashi",0,2,0,0,2,1
hausa_1_00047,"2023: Mace Guda Da Ke Takarar Shugaban Kasa a APC Ta Janye Wa Tinubu, Ta Bayyana Dalili",0,0,0,1,0,0
hausa_1_00048,Tsarabar juma'a: Abubuwa 5 da ya kamata ku sani game da kabarin Annabi Muhammad SAW,0,0,0,2,0,0
hausa_1_00049,"Alheri danko: Daga kyautar N100, mabaraci ya samu sakayyar N100k nan take",0,0,0,1,0,2
hausa_1_00050,Allah ya yi wa Sanata Munir Muse rasuwa,0,0,2,0,0,0
hausa_1_00051,"""Abun Takaici Ne"": Sylva Ya Caccaki Jonathan Bisa Kalamansa Kan Zaben Gwamnan Bayelsa",1,0,1,0,0,0
hausa_1_00052,Nifa duna rude😂,0,0,0,0,0,0
hausa_1_00053,“@user: An yi wa 'yan adawa bulala a Sudan http://t.co/pXnlTY8mCp” 😄😄,0,0,0,0,0,0
hausa_1_00054,Wani matashi na shirin fara tattaki daga Katsina zuwa Kano a gobe Juma’a don taya Ganduje murna,0,0,0,1,0,2
hausa_1_00055,"Hahaha 😂 😂 😂 za'asha mamaki kam da cabals, Allah yasa musauka Lafiya a jirgin Next Level.",0,0,0,1,0,1
hausa_1_00056,Shehu Sani Ya Yi Allah Wadai Da Ma Su Daukar Mataki Kan Zargin Satar Mazakuta A Abuja,1,2,0,0,0,0
hausa_1_00057,NLC Ta Rufe Hanyar Shiga Kamfanin ’Yan China Saboda Rashin Kulawa Da Kuma Mutuwar Ma’aikaci Dan Najeriya,0,0,2,0,0,0
hausa_1_00058,Labaran Kannywood: Lilin Baba Yana Daf Da Auren Ummi Rahab,0,0,0,2,0,0
hausa_1_00059,Yanzu-Yanzu: Shugaba Buhari ya taya ministansa murnan cika shekaru 70,0,0,0,3,0,0
hausa_1_00060,"Wannan abun yabawane, gwamna Ganduje. Kada kaji tsoron duk wata kungiya ko wadansu munafukkai, ka aiwatar da umurnin Allah.💪",0,0,0,1,0,0
hausa_1_00061,"Daga karshe, Bindow ya taya Ahmad Fintiri murna",0,0,0,2,0,0
hausa_1_00062,Babban dana sanin da Dan Kano yayi shine zabar Buhari a 2015 wannan shine dana sani mafi muni a tarihin siyasar jahar kano 😎,0,0,3,0,0,0
hausa_1_00063,Ina taya ka murna ‘Danuwa na - Mufti Menk ya fadawa Isa Pantami,0,0,0,3,0,0
hausa_1_00064,Muna😂😂farin ciki #film_din_labarina💖yafara dawowa maudu'in da aka katashi #God_bless_you_AMEENU_SAIRA,0,0,0,3,0,0
hausa_1_00065,Zakarar da Allah ya nufa da cara: Wata yarinya ta tsere daga hannun mayakan Boko Haram,0,0,0,2,0,1
hausa_1_00066,"😢 Allah yajikan malam, Allah yakai haske kabarin malam jafar 🙏🏽😢 , DUNIYYA abun tsoro ce, Allah ka rabamu da ilimi mara amfani , wani ilimin dashi kwara jahillci https://t.co/gELKqPWDjR",0,0,3,0,1,0
hausa_1_00067,"Hadda Da Karatun Al-Kurani Mai Girma Yana Taimakawa Gyara Kwakwalwa, Gwamna Abdulrazaq",0,0,0,0,0,0
hausa_1_00068,amma fah na taya shi murna,0,0,0,3,0,0
hausa_1_00069,Allah ya yadda: Hotunan Jarumi kuma mawaki Garzali Miko tare da zukekiyar matarsa,0,0,0,2,0,1
hausa_1_00070,An samu nasarar yi wa Sarki Salman tiyata a mafitsara,0,0,0,2,0,0
hausa_1_00071,Ina tsoron fushin ubangiji – Inji wani babban Fasto da ke neman yan mata da Mata mabiyansa,0,2,0,0,2,0
hausa_1_00072,Wasu da su kayi wa Buhari fatan mutuwa amma su ka riga sa zuwa gidan gaskiya,0,0,0,0,0,2
hausa_1_00073,nabiyo murna da mugun gudu,2,0,0,0,0,0
hausa_1_00074,A fada sunan su da yan uwansu mana in ba tsoro ba. 🙄,1,0,0,0,0,0
hausa_1_00075,Al’ummar gari sun tsere cikin jeji yayin da yan bindiga suka farmaki garuruwan Neja,0,0,1,0,3,0
hausa_1_00076,Allah ya yiwa Malam Musa Mai Shara da kiran Sallar Farko na Asuba a Masallacin Sultan Bello rasuwa,0,0,3,0,0,0
hausa_1_00077,Yan matan yanxu abun tsorone wlh hakafa wata tafara nunamin bakin kishi da tagida ai wlh daga ranar bata kara ganina ba🏃🏻🏃🏻🏃🏻🏃🏻‍♂🦸🏼‍♂🦸🏼‍♂,0,0,0,0,2,0
hausa_1_00078,Zaben 2015: Ni da Adamu Mu’azu mu ka lallashi Goodluck Jonathan – Bala Na’Allah,0,0,0,0,0,0
hausa_1_00079,Yanzu-yanzu: Buhari ya zabi sabbin shugabannin hukumar jin dadin alhazai NAHCON,0,0,0,1,0,0
hausa_1_00080,Kullu Nafsin Za'ikatul Maut: Awanni kadan ya rage a daurawa Fatima aure sai Allah ya karbi rayuwarta,0,0,3,0,0,0
hausa_1_00081,Mutane 5 yan gida daya sun yi mutuwar ban mamaki a jahar Enugu,0,0,2,0,0,2
hausa_1_00082,Bama yi Ayy siyasar ba gado bacce...🙄🙄🙄,2,0,0,0,0,0
hausa_1_00083,Hukumar Hizbah ta kashe auren dole 330 da akayi a jihar Jigawa,0,0,1,0,0,0
hausa_1_00084,Nikam maiye yake damun wanan ganduje 😤🤧 mutum sai jahilci😭😭,2,0,0,0,0,0
hausa_1_00085,"Yayan Maryam Booth yayi soyayya da ita, amma fa a fim, a cewarsa",0,0,0,0,0,2
hausa_1_00086,"Ahmad Gumi: Hakurin Gwamnatin Tarayya Ya Kare, Ta Dauki Mataki Kan Malamin Musulunci",2,0,0,0,0,0
hausa_1_00087,Sai dai karuwar chinhanchi da a kasamu😥😥,0,0,2,0,0,0
hausa_1_00088,"""Na Gode Wa Allah An Kama Mu"", Mai Garkuwa Bayan Yan Sanda Sun Kama Shi",0,0,0,1,0,1
hausa_1_00089,"Hmmmm ku bi dai a hankali, karku buya a bayan wayon ku😏😮!!! Dan wlh idan jamaa suka gane ku daku sha mamakiii!!...😣😣",1,0,1,0,0,0
hausa_1_00090,Bincike ya fallasa yadda masu hakar gwal ta bayan-fage su ke hura wutan rashin tsaro,0,1,0,0,0,0
hausa_1_00091,ae bayan talauci bamusan komai ba tunda muka tashi🤔🤔,1,0,2,0,0,0
hausa_1_00092,inaso inyi wata magana amma ina tsoron zuwa abuja lamme pass,0,0,0,0,2,0
hausa_1_00093,COVID-19: Matar El-Zakzaky ta samu lafiya,0,0,0,2,0,0
hausa_1_00094,Zahra Buhari ta taya mijinta murnar zagayowar ranar haihuwarsa da kalaman soyayya,0,0,0,3,0,0
hausa_1_00095,Adeji tsoron Allah wlh asan miye ake fada Azumi ne🙄,1,0,0,0,0,0
hausa_1_00096,"A kanon akayiwa annabin mu rashin kunya Amma bakace komaiba saida aka cire wani sarki,😩 duk sai Allah yatambayeku wlh kuji tsoron Allah .",2,2,1,0,0,0
hausa_1_00097,Gidan adana kayan tarihi na Turkiyya ya wallafa hotunan wasu kayayyakin da annabi ya yi amfani da su,0,0,0,2,0,0
hausa_1_00098,"Yan bindiga sun farmaki kwaleji, sun hallaka dalibi da wani lakcara a jihar Legas",0,0,2,0,2,0
hausa_1_00099,Sakamakon canji: Atiku ya taya diyarsa murna bayan ta kama sana'a,0,0,0,3,0,0
hausa_1_00100,"Ban yi mamakin sauke ni daga mulki ba, Kwamishinan Borno da Zulum ya kora",0,0,0,0,0,0
hausa_1_00101,Allah Ya Yiwa Na'ibin Limamin Masallacin Sultan Bello Rasuwa,0,0,3,0,0,0
hausa_1_00102,Auren Gata: Kwankwaso Ya Fadawa Ma’aurata Sirrin Yadda Za Su Zauna Lafiya,0,0,0,2,0,0
hausa_1_00103,Yanzu Yanzu: INEC Na Tuhumar Dakataccen Kwashinan Zaben Adamawa Kan Laifuka 6,1,0,0,0,0,1
hausa_1_00104,Ina taya matan nan uni murna👏👏👏👏,0,0,0,3,0,0
hausa_1_00105,Abin haushin na da yawa😞,2,0,0,0,0,0
hausa_1_00106,Hmmm toh gamu ga yan iska 🚶🚶,2,0,0,0,0,0
hausa_1_00107,COVID-19: Jerin kayan tallafin da FG ta tura jihar Kano bayan ta yi alkawari,0,0,0,1,0,0
hausa_1_00108,Nabi haraji da gudu 🤣🤣,1,0,0,0,0,0
hausa_1_00109,"Gwamna Ortom: An yi min tayin APC, gwamnatin Buhari ba ta taimaka min wurin biyan albashi",0,0,1,0,0,0
hausa_1_00110,"Cikin kwanaki 4 ku mika wuya ko ku fuskanci fushin gwamnati, Matawalle ga 'yan bindiga",3,0,0,0,0,0
hausa_1_00111,"Muna taya murna IG, da haka burutai ya Fara🙏",0,0,0,3,0,0
hausa_1_00112,Innalillahi wa inna ilaihi raji’un: Allah Ya yi ma Tafidan Ilori rasuwa,0,0,3,0,0,0
hausa_1_00113,kwankwaso baikai buhari yaji tsoronsaba insha allah kwankwaso batsunsu ba tarko,1,0,0,0,0,0
hausa_1_00114,Kanawa muna cikin farin ciki😂😂sarauta tadawo gdanta na gado..uban Abba muna godia 😂😂,0,0,0,3,0,0
hausa_1_00115,"Agaskiya Mu yan Nigeria Ana Matukar Raina mana Hankali... Ai koh kirge ake koya mana da wannan Kare-karen yawan masu CORONA a Nigeria, Ai yaci Ace kowa ya mallaki kwalin degree a lisaafin Na kirge...😣😡",2,0,2,0,0,0
hausa_1_00116,"Tun muna yara muke wasan ango da amarya, sai gashi Allah ya hada aurenmu yanzu - Amarya ta bada tarihin rayuwarsu",0,0,0,2,0,1
hausa_1_00117,Ali Ƙwara Azare 'mai kama ɓarayi' ya riga mu gidan gaskiya,0,0,3,0,0,0
hausa_1_00118,Alheri gadon barci: Attajiri ya fara rabon kayan Sallah ga gajiyayyu da talakawa a Sakkwato,0,0,0,3,0,0
hausa_1_00119,Allah Ya Yi Mun Gamon Katar: Matar Aure Ta Wallafa Hotunan Mijinta Yana Tayata Girki A Icce,0,0,0,2,0,1
hausa_1_00120,Suma cin Dan uwarsu 🤣,2,0,0,0,0,0
hausa_1_00121,"Allah Yayi wa Tsohon Jakadan Najeriya a Kasar Saudi Arabia, Imam, Rasuwa",0,0,3,0,0,0
hausa_1_00122,Kinga Ni ko rahma nayi matukar bakin ciki😠 da Naga wanan hotun Nan kina jamana zagi a matsayin ki n musulma tun Muna damuwa har mun sallama ki Amma abin takaici shine abin ya tashi daka kanmu ta dalilin ki anyi batanci ga fiyayyen halitta Annabin Muhammad S A W 😭😰😥😢,3,0,2,0,0,0
hausa_1_00123,Dalilin da yasa muka yi Sallar Idi a ranar Asabar – Sheikh Lukuwa,0,0,0,0,0,0
hausa_1_00124,"Adam A Zango Ya Fitar da Sabon Faifan Bidiyo Kan Halin da Ya Ke Ciki, Ya Yi Godiya",0,0,0,2,0,0
hausa_1_00125,Kina iskanci san ranki plx indai zaki burgeni ki curo NONON ki daya 1 plx i wan see somtin ☝,1,1,0,0,0,0
hausa_1_00126,Hmmm Allah Koh 🙄🙄🙄 Sabi da tsoron ku muke to Koh🤯🤯?? Ko Kuma zaman ku mukeyi a duniya?🤯🤯😤😤😤 Akan rayukan musulmai ba rayuka bane Koh?😤😤😤 Naku ne rayukah Koh?? Wlh kusani kifi na ganin ku mai jarkoma😬😬 akwai ranan kin dillanci!!!! I said #freepalastine 🇳🇬🇳🇬,3,0,0,0,0,0
hausa_1_00127,"Ni bazan taba mantawa da ranar da mutu war malam ba,saboda yarona yana kwana shida a duniya aka kashe malam😭😭😭 da safe na fito zani wurin tela sai Na sami labarin Mara dadi wai a Daren jiya ne aka kashe malam jafar Wlh dinkin da ban je karbowa ba kenan na dawo gida Ina ta 😭😭",0,0,3,0,0,0
hausa_1_00128,uwar da ta haifi mutum ba kabarin su daya ba balle kurinqa damun ta ku fara damuwa da xunuban ku tukun,1,0,1,0,0,0
hausa_1_00129,Tabbb wannan ya taro fushin Ubangiji da kansa 🤔,1,0,0,0,2,0
hausa_1_00130,Atiku ya koka kan yadda ake kashe rayukan bayin Allah a Jos,0,0,2,0,0,0
hausa_1_00131,"Kuma Akwai Addu'ar da ANNABI sallallahu Alaihi wa alihi wasallam yayi akan shuwagabanni, yasamu malamai kamar su suyi masa tunatarwa dangane sha'anin mulki. Idan kuma Bahaka ba, to wallahi muna jiye tsoron tsikar azabar ALLAH SWT. ALLAH ya tsare 🤔",0,0,0,0,2,0
hausa_1_00132,"Rikicin Kwankwaso da Ganduje: Allah ya hada mu a Daka Tsalle, Kwankwaso zai yaba ma aya zaki –Abdullahi Abbas",1,0,0,0,0,0
hausa_1_00133,Illoli 6 na lemun tsami ga lafiyar ɗan Adam,0,0,0,0,0,0
hausa_1_00134,"Kawata ta nuna tana son mijina, kuma ta sha alwashin raba ni da shi, dan Allah ina mafita - Mata ta nemi shawarar mutane",0,0,0,0,2,0
hausa_1_00135,Da kotun Da lauya Da lauyan da yatsawa jaɓɓeri Da wanda yaji daɗin hakan Da wanda yayi murna da hakan Your father beat your mummy Norse 👃👃,3,0,0,0,0,0
hausa_1_00136,"Innalillahi wa Innailaihi raji’un: Sarkin Yakin Kazaure, Baba Santali ya rasu",0,0,3,0,0,0
hausa_1_00137,Musulunci ya samu karuwa: Manyan Fastoci guda biyu a jihar Ogun sun dawo addinin Musulunci,0,0,0,3,0,1
hausa_1_00138,😁😁😁wlh buhari dan iska ne,2,0,0,0,0,0
hausa_1_00139,Gamayyar gwamnoni tayi alkawarin tallafawa Makinde a sake gina kasuwar Sasha,0,0,0,2,0,0
hausa_1_00140,"Ai Daman duk Mai hankali yasan hakan zata faru, an barshi ne saboda ayi mana kamfen, abin mamaki Wanda ya fara yin titin tun babu shi ba'a samu irin Wannan tsaikon ba sai a mulkin masu gaskiya aka samu matsala😈",2,0,0,0,0,1
hausa_1_00141,haba wai mutane sun koma kamar dabbobi suma kamar gargin tumaki ne da za a re na ma na wayo wai sata ita gwannatin wai ita an fita wayo ne abin tambaya anfi gwannati wayo wlh Allah sai ya tambebaku domin mu amana ce mu a gareku wlh zaku amsa tambaya😭😭,3,0,2,0,0,0
hausa_1_00142,Bincike ya tabbatar wadanni suna da saurin fushi,0,0,0,0,0,0
hausa_1_00143,Nima ina mika murnar birthday ga sister Halima. 🎈 Happy Birthday! 🔥 🔥 🔥 📍 📍 📍 📍 📍 📍 🎂🎂🎂🎂🎂🎂🎂🎂 🎂🍓🎂🍓🎂🍓🎂🍓 🍓🎂🍓🎂🍓🎂🍓🎂 🎂🎂🎂🎂🎂🎂🎂🎂 🎂🎂🎂🎂🎂🎂🎂🎂,0,0,0,3,0,0
hausa_1_00144,Ka taimake mu da kudin tallafi da cibiyoyin gwajin Coronavirus – gwamnonin Arewa ga Buhari,0,0,1,0,0,0
hausa_1_00145,Za a saukar da Alkur’ani mai tsarki 100 domin Buhari,0,0,0,2,0,0
hausa_1_00146,Zaben Bayelsa: Buhari ya taya zababben gwamnan Bayelsa David Lyon murna,0,0,0,3,0,0
hausa_1_00147,To Ku BBC meye damuwarka idan anyi satar jarabawa😂😂,0,0,0,1,0,0
hausa_1_00148,"Dan Gwamna El-rufai ya wallafa hoton matan mahaifinsa, ya ce auren mata fiye da ɗaya yana da kyau",0,0,0,1,0,0
hausa_1_00149,Wutakam💣💥 ana gasamu sosae har munfara konewa Aji tsoron Allah fa,2,0,0,0,0,0
hausa_1_00150,Innalillahi 🤔wllh kuji tsoron Allah,0,0,2,0,0,0
hausa_1_00151,Allah Ya Yi Wa Shehu Othman Rasuwa Yana Da Shekara 91,0,0,3,0,0,0
hausa_1_00152,Hahahaha abin dariya da mamaki. Saikaga yan 🇳🇬 dagasun fita kasashen waje sai suzama manyanmutane amma anan........ Allah wadaran wagga muguwar qasa 😢,1,0,1,1,0,1
hausa_1_00153,Yanzu-Yanzu: Allah Ya Yi Wa Sarkin Dutse Muhammadu Sanusi Rasuwa,0,0,3,0,0,0
hausa_1_00154,Ganganci: Wani mutum ya mutu yayin gasar cin kwai 50,0,0,0,0,0,2
hausa_1_00155,"Birnin Kebbi: Jama'a sun cika da murna, farincikin zuwan Buhari",0,0,0,3,0,0
hausa_1_00156,Khadija na bukatar taimakon ‘yan Najeriya da gaggawa (Hotuna),0,0,2,0,0,0
hausa_1_00157,Allah Ya Yi Wa Shugaban NUGA Rasuwa Bayan Gajeruwar Rashin Lafiya,0,0,3,0,0,0
hausa_1_00158,"Ma dear whether you’re supporting ganduje or Abba, you must put your life first, zaben nan fa is not do or die, if it’s no longer safe stay at ur parents home, or your matrimonial home 🏡 after all duk candidates din guda biyu ba wanda ya miki alkawarin kawar miki da damuwanki fa",0,0,0,0,0,0
hausa_1_00159,Allah ka raba mu da masifaffan so bala'ein so jarabar so damuwar so nacin so da Kuma maytar so irin na Sumayya 🤒🤒🤒,0,1,0,0,1,0
hausa_1_00160,Yanzu-yanzu: Allah ya yi wa Sheikh Laidi Orunsolu rasuwa,0,0,3,0,0,0
hausa_1_00161,📻 BBC Hausa da sauran ma'aikatan Ku maza da Mata wadanda Duke Nigeria Da birtaniya INA taya Ku murnar Cika shekara @user,0,0,0,3,0,0
hausa_1_00162,Babanki in swahili 😄😄😄,2,0,0,0,0,0
hausa_1_00163,Ni dama abin yabani mamaki wai Su Garuje ansamu mukamin farfesa😄 https://t.co/SviJNulg3B,0,0,1,0,0,2
hausa_1_00164,"‘Dan shekara 18 ya dawo da N20.5m da ya tsinta, ya samu kyautar miliyoyi da abubuwan alheri",0,0,0,3,0,2
hausa_1_00165,"Dan Allah ka je ka huta – Obasanjo ya sake caccakar Buhari, yace shugaban kasar baida lafiya",1,0,0,0,0,0
hausa_1_00166,Allah ya yi wa DG na kungiyar dattawan arewa rasuwa,0,0,3,0,0,0
