text_id,text,Joy,Surprise,Sadness,Anger,Fear,Disgust
darija_1_00001,#SocialMediaNight #HananeElKhader hnan bnt bladi ya fakhr lmaghrib nti w ihab khlikom jmi3 wkhadmo mzn whna m3akom ghniwli rifi mwah 3likom,3,0,0,0,0,0
darija_1_00002,الفتح حتى هو تأهل واخا خسر,0,1,0,0,0,0
darija_1_00003,سبور جورنالات بلادي2: غير مشا الزاكي عدد من المحترفين رجعو للمنتخب وها شرط لرونار للإشراف على الأسود والحافيظي يغادر الرجاء,0,0,0,0,0,0
darija_1_00004,ana radya b hyati mali w malkoum,1,0,0,1,0,0
darija_1_00005,دنيا باطما تترك الغناء وتقتحم عروض الأزياء,0,1,0,0,0,0
darija_1_00006,الصهد دالمعقول جاي فالطريق. مديرية الأرصاد الجوية تُحذر: راه الحرارة غادي توصل حتى لـ44 درجة مائوية,0,0,0,0,2,0
darija_1_00007,kawtar wala ana jananitni et sa robe kterrr chique woww,2,2,0,0,0,0
darija_1_00008,@user Ana bghithoum ikhsro bjouj ki ndir???,0,0,0,1,0,1
darija_1_00009,hbiba rajae enty machi f dak al mostawa dyal kenza li2anaha 3ayrat lik bladek al maghreb iwa fi9i,0,0,0,1,0,0
darija_1_00010,"واش غانعيشو انقطاع فالگاز والمازوط.. وزيرة الطاقة: المخزون لي عندنا كافي لـ26 يوم فقط وها التفاصيل,",0,0,0,0,2,0
darija_1_00011,ومشينا بعيد. المغرب يستدعي سفير اميركا في الرباط وها علاش وماشي الفعفاع اللي استقبلو: ما جاء في بيان الخارجية الامريكية اهانة للمغرب,0,0,0,2,0,0
darija_1_00012,غلاب والخلفي يبحثان عن الفرجة التلفزيونية لأنشطة البرلمان، ويحضران على نار هادئة لإنشاء قناة برلمانية متخصصة,0,0,0,0,0,0
darija_1_00013,@user @user khti diri follow na3tik lhissab dyali sawti bih,0,0,0,0,0,0
darija_1_00014,خاص..فضيحة اخلاقية تهز مؤسسة تعليمية بقصبة تادلة والتلاميذ يحتجون ونيابة التعليم تتدخل,0,0,2,0,2,0
darija_1_00015,عامين دالحبس للشابين لي صورو البشير السكيرج والتهمة « السرقة »,0,1,0,0,0,0
darija_1_00016,واقيلا القضية بدات كتزير للكور للي كيكلسو هنا بصفة غير قانونية و كيخدمو فالنوار، و فالصراحة مزيانة فيهم,0,0,0,1,0,0
darija_1_00017,عاجل. البوليس استامع للبشير سكيرج وكيقلب على ثلاثة دالمتهمين فقضية الفيديو,0,1,0,0,0,0
darija_1_00018,الله أزيدكوم عداب في عداب',0,0,0,3,0,0
darija_1_00019,fkhbark haada li tmad7ii fih rah 3ayr lmagghrib,0,0,0,2,0,0
darija_1_00020,a ghir mwensahoum wellah 😂😭😂😭 w brasserie la cigale in casablanca grand casablanca,2,0,0,0,0,0
darija_1_00021,المغرب دولة إسلامية موحدة رغم أنف كل أصحاب الفتن      #لا_للفتنة      #نعم_للأمان,0,0,0,1,0,0
darija_1_00022,"بسباب استمرار الأزمة فأوكرانيا.. ثمن البترول طلع لأعلى مستوى ليه منذ 3 دالسيمانات,",0,2,1,0,1,0
darija_1_00023,الحصيلة الوبائية لكورونا فالجهات هاد الصباح: 203 تصابو فبؤرة آسفي و62 فكازا و37 فالعيون,0,0,2,0,2,0
darija_1_00024,مشكورة انا والله يوفقك و',2,0,0,0,0,0
darija_1_00025,انفراد. ها اسماء العمال ورجال السلطة لي عيطو ليهوم,0,0,0,0,0,0
