text_id,text,Anger,Disgust,Sadness,Joy,Fear,Surprise
orm_train_track2_1,"Guyyaa arraa waan bareedaa yoon argin Gazzaa ( palestine ) keessatti barsiisaan qabxii joollee osoo kaayaa jiruu mucaa tokko ka zaalimni ajjeese shahiideedhaaf akkas jechuun qabxii isaa kaaye . Jannatul firdows ol aanaa tahe san"" Rabinii haramatuu URL",0,0,0,1,0,0
orm_train_track2_2,Oromoo maqaa balleessuuf jecha dhagaa isaan kaasanii hin buufne hin jiru . Uummata abaaramaa kana! URL,0,2,0,0,0,0
orm_train_track2_3,@USER Yaada gaariidha garuu namni hundi ykn dhaabni hundi mariitti amana jechuun wan hin danda'amnef lubbu lammiilee mootummaan itti gafatamummaa fudhatte eguu qaba xaxaa siyaasattin namoonni du'uu hin qabne waan du'a jiraaniif kessattuu qaamni nageenya biyya eguuf gahee qabu,0,0,1,0,0,0
orm_train_track2_4,. sareen mana nama dhuftee ambaa(firfaarii) mi'oftuu nyaatee hin deemtuu yoo wari hariee malee . kunoo Waayyaaneen amma saree tti yoo umman Oromo Oromiyaa keessa har'ee malee jiru Oromo waan mi'eefatee fuu biyya kenya (Oromiyaa) dhifteetti deemittin soba .,0,3,0,0,0,0
orm_train_track2_5,nafxanyaan oromiyaa gad lakkkisee bahuu qaba,0,3,0,0,0,0
orm_train_track2_6,P2:Dubbiin akkas namni bu'aa ba'ii hedduu arge sodaa hin qabu abadan.lubbuun harka rabbiiti!yoo warra waa maxa'uuf rakkattu ta'es dhiisi!ofumaa bukeessuudha.Itoophiyaa!!!,2,0,0,0,0,0
orm_train_track2_7,Booji'amtoota waraana itoophiyaa humnaa addaa tigraayin kan booji'aman graa maqalee geefamu vedioURL,0,0,0,0,0,0
orm_train_track2_8,Putiin biyyi kamiyyu waraana Yukireen gidduu gallaan deebii hamaan akka isa eeggatu akeekkachiise URL,0,0,0,0,0,0
orm_train_track2_9,Media haqaaa fi filatamaaa omn,0,0,0,2,0,0
orm_train_track2_10,Hubannoon nam-tolchee dhala namaa balleessa jechuun ogeeyyiin akeekkachiisan,0,0,0,0,0,0
orm_train_track2_11,'Hundee koon yaadadha. Osoo seenaan koo durii hin jiraannee har'a aniyyuu hin jiru' -Guutuu Abarraa,0,0,0,0,0,0
orm_train_track2_12,RIP Torbee tokko gidduutti cidhaa fi du'a wal faana simachuun baay'ee cima dhugaa dubbachuuf immoo amanuuf illee baay'e namatti ulfaata . Nagaan boqodhu maatii fi firootan Gammees Waaqayyoo isiin haa jabeessukka URL,0,0,3,0,0,0
orm_train_track2_13,"osoo kanaa Agaruu garaa kamtuu nu callisaa Yaa Oromoo kooMee Rakkoo ummani keenyaa ""keessaa jiruu sirritti nuuf Hubadhaa""Ammalee""Sagaleen ummata keenyaa hangaa barbaachisaa tahee dhagahamaa hin jirtuu kanaafuu""Sagaleen""keenyaa haa dhagahamuu! IlmaaSabaati URL",3,0,0,0,0,0
orm_train_track2_14,"Waaqayyo gooftaan kee sii wajjin jira inni oolchuudhaaf aango-qabeessa inni of irraa bu'ee sitti in gammada jaalala isaatiin gabii siif in kenna akka warra guyyaa ayyaana beekamaatti gammadanii sitti gammaduu isaas sagalee isaa ol fuudhee in dhageessisa"" in jedhu . Sef . 3:17",0,0,0,0,0,0
orm_train_track2_15,Namichi Uumatasa Akkasii Jiraachisa Uumata Alagaatiif BadhaasaaSeenaaf Ol kaayaa! URL,2,0,0,0,0,0
orm_train_track2_16,Mililik akkka due hin dhageeenye maaaf ekeraaa sodaaattta,3,0,0,0,0,0
orm_train_track2_17,Koootttuuu Maaatiii Naaaf Taaaa Hundikeeesssanuuu,0,0,0,0,0,0
orm_train_track2_18,#JawarMohammed jechuun nama osoo qawwee hin hidhatiin diina qalamaan kuffisee nutti agarsiise.-Nama osoo Aangoo hin argatiin biyya nagaadhan bulchee nutti agarsiise.-Nama mul’ata guddaa qabuu.-Nama fakkeenyummaa guddaaa qabuu.-Nama kutataa sabati.URL URL,0,0,0,3,0,0
orm_train_track2_19,@USER yerroo hunda roorroo hassawuu fi minilik jechaa afaan banu irra dalagdee jijjiramu yookaan ammoo jeeyna taatee diina offiirra ittisuu male boyichii oromoof bu'aa hin qabuu . diiqaalticha woyyaannee,3,2,0,0,0,0
orm_train_track2_20,Balaaagubaaan raaareeedhaaa   hodhooojanaaan diiideeetiii   olkeeenyaaan hateeejachuuujiraaa namniii   namaraaa jiiiruuuciiiseeenamadhiiita   waheeeduuunyaaatan maleee waleeedubataniii   niiibeeekajateee jartiiin kiiitaaabadhiiiyxeee dubiiigafaqabdiii   dhiiibeeebekeee   waaalaaansaaaf   dorgooomiiijiraaa walquuunmtiii ksraaamaraaatiii ,0,0,0,0,0,0
orm_train_track2_21,''Ka hate ka wayaa ka qorqoran ka harsamaa.''jedhe namichikan silaa shororkeessaa ta'utu shororkeessaa namaan jedha.,2,0,0,0,0,0
orm_train_track2_22,Waraana waliinii Itoophiyaa: 'Iyyuun gatii hin qabu ture',0,0,0,0,0,0
orm_train_track2_23,Barumsaaa bayyye gaaariiidha yero video nama irrraaati hojjjaaatanuf,0,0,0,2,0,0
orm_train_track2_24,Bilisummaa Oromoo waliin akka qabu fakkeessun kenne hundinuu soba hamaa akka ta’e hubatamuu qaba.Namni dhunfaa kun miidiyaa irratti mul’ate waliin ta’uun soboota kana durse fi karoorsee akka rawwate hubachuun barbaachisaadha.,0,2,0,0,0,0
orm_train_track2_25,Nuttti waaan tokkko dhagggenu yooo tasasa isiiin hordofne maaaleee,0,0,0,0,0,0
orm_train_track2_26,walumaa galatti nafxanyaan hoomaa hin beektu,0,3,0,0,0,0
orm_train_track2_27,irreecha hora finfinneefi hora harsadii bara kabajamuuf qophiin xumuramuu gamtaan tokkkummaa abbootii gadaa oromoo beeksise,0,0,0,0,0,0
orm_train_track2_28,Nagammmastaaartuuu Hojiiinkeeesssaaan booonsadhaaa Haaalumaaa kanaaan itttiii mudddaaa,0,0,0,2,0,0
orm_train_track2_29,Dubartiin jaalalleenshee durii haaloon suuraa qullaashee mul'isu beenyaan dolaara bil. 1.2 murtaa'ef,0,0,0,0,0,0
orm_train_track2_30,kaan naagaluu dhaadhaabuu.Obbo Baqaalanii . suusii akamiituu siirnaafii impaaierii Amaanu'eel Wandimmuu ajjeeftee diiguu irraa gaargaarii hiinbaanuu waajiin jiiraangaa kaanjeechiisiiseenii? Amaantii soodhaa jaalaalaa taitaa barbaachuudhaa diigaa Oromoo kaan itticaalee? URL URL,3,0,0,0,0,0
orm_train_track2_31,dhiiri hiv qabuufii durbi durbummaa hin qabne gowwaadha dubbiin siiriiin,0,3,0,0,0,0
orm_train_track2_32,Oromoo akka bineensaatti ajjeesaa biyyaa ariyaa hiraarsaa mootummaa keeti jedhanii gowwoomsuun hin hojjatu . Oromoo dammaqi.Ilmaan kee garaashii hidhattee dhagaa boraafattee siif duutu WBO faana dhaabbadhu . Hidhadhuu biyya abbaa keetii bilisoomsi . #OromoVoice #OromoIsStarving,2,0,0,0,0,0
orm_train_track2_33,Yeroo addunyaan qaroome kana keessa Ummanni Addunyaa kana Jaarroota dheeraaf hoogganaa ture MUSLIMOONNI Yaada du'aa Abbaa irree tahuu kan mootonni hedduun jibbanii dhiisan isaaniin hamatamuun SALPHINNARabbiin irraa nu haa baraaru,0,0,1,0,0,0
orm_train_track2_34,.Nafixaanyaan waan sodaate bochuu fi eessa dhooksaa tti hojjaatan akka ifaa hin baane fi(nama dhuufuun qabee hin utaalu ) yoo ifaa ba'ee Nafixaanyaan rakkoo gudda irraatti kuftii,0,2,0,0,0,0
orm_train_track2_35,@USER Du'a #TesfayeGebreab dhalataa fi lammii Ormaa kan garuu jaalalaa fi quuqama saba keenyaaf qabu gadda ibsuurraa of qusachuun keessan hangam takka Amaaraaf akka gabroomtan agarsiisa#OPDO|n tuffatamtuu saree saree gadiiti,2,2,0,0,0,0
orm_train_track2_36,@USER Filannoon du'a sodaa si filatamu filannoo miti hin gowwoomin sirratti barame jira yaa gadhee yaa gantuu Abiyyi ati Abbaa Irreeti,0,3,0,0,0,0
orm_train_track2_37,ustaaz qaalii gaarii namaa waaqain ija hamtuu qabu waaqain haftee umurii keessani barakaa kaa'u,0,0,0,2,0,0
orm_train_track2_38,Galma dhugaaa nuf jirrradhuuu hamtu fi hamaaaruuun sin argin jaaaba kiya,0,0,0,3,0,0
orm_train_track2_39,Taaadddeee fi Habteee Isin jaaalannna Bara hojiii gaaariii isiniiif haaa tau,0,0,0,3,0,0
orm_train_track2_40,uummanni kiristaanaa yesuusin hordofan hin seexana hordofu,0,3,0,0,0,0
orm_train_track2_41,GABRUMMAA GABRUMMATTI Ummanni Oromoo Raayyaa Alaamaaxaa Gabrummaa TPLF Jalaa gara gabrummaa eenyummaa Ilmaan Minilikitti dabruu isaatiif baay'ee gadda Gabrummaa phase 2 Isa hamatti ce'uu guyyaa OBN Alaamaaxaa manguddoo tokko haasofsiise fb maxxanse,0,0,3,0,0,0
orm_train_track2_42,BAGAAA AYAAANA IREEECHAAA GASNIII OROMOOO KOOO ,0,0,0,3,0,0
orm_train_track2_43,Ebarhim mattti naf taiii sanyi kooo kabajan si gafadhaaa,0,0,0,0,0,0
orm_train_track2_44,fiqaaduu tasammaatii mannaa harroota hin wayyuu,0,3,0,0,0,0
orm_train_track2_45,DIRREE FI FANJII SIYAASAA WAYYAANEE.Dirree Dhawaa tana wanti rakkoo hamtuu fi gaaga'ama hamaa fidaa jiruu fi fuula duraas balaa addaa dhaluuf jiraatu botolikaa sobaa bulchinsa cubbuu kan Wayyaaneen . URL,1,0,0,0,0,0
orm_train_track2_46,Seenaa Israa'el: Hundeeffamarraa hanga har'aatti taateewwan ijoo,0,0,0,0,0,0
orm_train_track2_47,Alaabaa mana hidhaati si baasee kabajaan nama dura si dhaabe dhorkuun qaanii hamaadha . Kan kana godhu ilmaan haraamuudha.,2,2,0,0,0,0
orm_train_track2_48,Taammiraat Tolaa rikkardii haaraa bakka sanaa galmeessuun Maraatoonii Niiw Yoork mo'ate,0,0,0,2,0,0
orm_train_track2_49,Ani innni na hin rifachiiiseee dhiiiraaa hidhamaaa haaadha warrraaa isaaa saniiifi dubbbiii mana kiraaa santu na rifachiiise,0,0,0,0,2,0
orm_train_track2_50,Isin akkka miiidiyaaattti dhiheeesssuuu qabdu maleee qeeequuuf karaaa banuuun isinirrraaa hin bareeedu,2,0,0,0,0,0
orm_train_track2_51,oromiyaa broodkaastingi neetwoork   ayyaanni daamaraa bulchiinsa magaalaa walisootti sirnoota adda addaan kabajamaa jira,0,0,0,0,0,0
orm_train_track2_52,Itttiiiqaaa baga siiin gahe sirba bareeedaaa warrri irrrattti hirmaaatan hunduuu waaaw daaareeektar ifaaa waaaw jennne,0,0,0,2,0,2
orm_train_track2_53,Duris yoo ta'e barnoonni Bilisummaa booda.Yaa barataa Oromoo erga M/B irra ittifamte barachuu dhorkamte mana teessee guyyaa du'a kee hin eeggattin . W2O bira deemii baradhu!!Yaa barsiisaa Oromoo erga miindaan sirra dhaabbatee mana teesse hin gaddin.,2,0,0,0,0,0
orm_train_track2_54,Bataskaanonni Ortodoksii Yukireen hambaa seenaa ta'an sababa waraanan balaarra jiru- UNESCO,0,0,0,0,0,0
orm_train_track2_55,Warri godina Iluu Abbaa Boor Dorgomaa dhuunfaa kata'e Dr kaamil Shamsuu tiif sagalee keessaan hin qusatiinaa carraa filatamuu siif hawwa ustaaz keenya kabajamaa URL,0,0,0,3,0,0
orm_train_track2_56,media keeesssan hooo maaal hojjjecha jira waaaqa hin sodaaatttaniiioromia keeesssattti namni gorrraama hin jiru,1,0,2,0,0,0
orm_train_track2_57,Garaaakiiiyaaa amataaalama gutuuun guyaaatokkko osooodadhabeee takkkaaa osonhiiinjaiiin deeemajiraaa haaangaaan beeekuuun biiiyaaafquuuqamuuu   dhiiiseeebeeekuuu namuuunadheeeyseee   dhukateeeyaduuu maleeedhiiisaniiima,0,0,0,0,0,0
orm_train_track2_58,Jajjabeen dhuugaa isii kan dhabde debbiifchuuf enyuuyu hin sodaatu kukufiisuf diina issa qaphiidha dandiin WBO xurree sadi qaba innii duraa - sabboonumaa dhuugaa - walabummaa biyyaa - Dimokraasi haqaa Kana galmaan gahuuf yoommiyyu qophiidha URL,1,0,0,0,0,0
orm_train_track2_59,Rakkoo Fi dararriin ummata oromoo yoom dhaabbata.! Sagalee haa taanuufii.!@USER@USER URL,0,0,2,0,0,0
orm_train_track2_60,Yaa Rabbii waan hundumaa kessattii obsaa fi sodaa kee nuuf kennii Yaa Allaah URL,0,0,0,0,0,0
orm_train_track2_61,@USER Yeroo ummati oromoo sagalee dhabee akka bineensaatti hadheefamu ati immoo maqaa oromoo battee ragaa tokko malee soba isaanii afuuftaa.I just feel bad for the time the oromo wasted to advocate for having this media.maal abaarsii hama kana gahuu.,2,0,0,0,0,0
orm_train_track2_62,Namni maqaa uumaa karaa qaroodhaan fayyadamu akkamitti na aarsa,3,0,0,0,0,0
orm_train_track2_63,Gooototaaaf muziyeeemiii ykn siiidaaa hojjjechuuun gaaariii taeee garuuu Uummmannni keeenya ashaaangullliiitiii ekeraaa Minilikiiin hingowwwooomu OPDOn madaaa uuummmata keeenyaaa osooo xuxxxuquuu dhiiifteee gaaariiidha Uummmannni keeenya dammmaqinaaan hordofuuu qaba,3,0,0,0,0,0
orm_train_track2_64,Dukkanni dukkana caalu garbummaa keessaati sirnaa garbomsaf waaqesuudha.,0,0,0,0,0,0
orm_train_track2_65,WBO'n hoggansa siyaasaa jalaa akka if baase fi mootummaa aangoorra jiru humnaan aangoorraa buusuuf akka murteeyfate ibse . Hubachiisa: WBO jechuun waraana bilisummaa oromooti . Akkasuma mootummaan aangoorra jiru mootummaa oromooti . Carraa gaarii malee waan jennuun hn qabnu.,0,0,0,2,0,0
orm_train_track2_66,amaarri oromoof diina,0,3,0,0,0,0
orm_train_track2_67,Kan akka namittii kanaa gidiraa Itoophiyaan gootu dhoksuuf wixxifatu hin jiru . Yeroo Haacaalun du'u rakkoo hunda dirtee uummata keenyarra keesse . Siyaasa nafxanyaatin bitamtee dhiibbaa addunyaan taasisaa jiru hunda soba taasisuuf dhakaan isheen hin dhiibne hin jiru . garuu waayyu! URL,2,2,0,0,0,0
orm_train_track2_68,| Waan Abiy fi diinonni saba Oromoo irratti hojjachaa jiran yoo xiinxallinu balaan saba keenyatti as deemu hedduu hamaa dha . Kanaafuu sabni Oromoo tokkummaa fi humnasaa cimsatee badii irraa of-ittisuuf WBO faana hiriiree nagaasaa eeggachuu qaba . #OromoVoice #InvestigateAbiy,0,0,0,0,1,0
orm_train_track2_69,Baaayeee gaaariiidha 1000,0,0,0,2,0,0
orm_train_track2_70,Sittti maleee yasuuus maaalin obsuuuEbbbifami,0,0,0,2,0,0
orm_train_track2_71,bagaaa rbni gudani dinaaa nafxanyaaa jalaaa si baseee bor abooo mameee,0,0,0,2,0,0
orm_train_track2_72,Viva #Egypt Biyyi misir waraana Itoophiyaa irratti bantee jirti . Kunis Karaa sudaan akka ta'e himamaa jira . Abiyoot rakkoo keessaa otoo hin furiin nafxanyaa duukaa utaalee boolla bu'aa jira . Itti haa cabsan,0,3,0,0,0,0
orm_train_track2_73,JAWWEEF MARROON abdii sabaa tahu beeki Mandeela kee jaaladhuti ulfeessiGoota kanke qawwee bitii hidhachiisiWallalaa kee barsiifadhu helaan gorsiTokummaa ke jabeefadhu kunuunsiGandaan yaduun roko qabdii firraa dhiisiTokko tahii diina kanke qalbi cabsi!!!,2,0,0,0,0,0
orm_train_track2_74,Caamsaa 06/2022Oduu GaddaaAmbooOna Haaruu xirrootti Manguddoo kabajamaa jaarsaa biyyaa OBBO NAGAASAA TOLASAA jedhaman waraana pp ajjeefamanii jiru . See more URL,0,0,3,0,0,0
orm_train_track2_75,Umanni dammaqe umanni barate umanni hidhate yeroo hunda diina isaa ni injifata Dr Hayilee Fidaaumannni Oromoo amma dammaqeera barateera nafxanyaa ofirraa buqqisuuf kan isa hafu hidhachuu qofa . kanaaf roorroo manatti itti dhufte Oromoon hidhatee ofirraa deebisuun dirqama . URL,2,0,0,0,0,0
orm_train_track2_76,@USER Sobaam bar wallaalaa homaa hin beeku jechuufi . Akka barbaanne nuu ta'a jechuu isaaniiti . Its racist!,0,2,0,0,0,0
orm_train_track2_77,fulbaana 21/2019) kaayyoon shiraa yoomuu hin milkaayu . Maqaa #ABO galmaahuuf jecha jibba darbe shira mootummaan qindeeffameen namootni Amman dura waan qabsoon gaafattu wareegama baasuu dadhabuun ABO irraa . URL,2,0,0,0,0,0
orm_train_track2_78,Kaabinee Abiy Ahimad keessatti filatamuun Ministira Daa’imman Dubartootaa fi Dargaggoota Itoophiyaa taatee hojjetaa kan turteefi Baatii Fulbaanaa darbe murtoo isheetiin aangoo gadi lakkisuu kan ibsite Filson Abdii waraana kaaba Itoophiyaan walqabatee URL URL,0,0,0,0,0,0
orm_train_track2_79,Tegest mattti naf taiii sanyi kooo kabajan si gafadhaaa,0,0,0,0,0,0
orm_train_track2_80,paastaroonni pheenxee kijibdoonni warri suuraa islaamaa balleessuuf sochootan dhugaa qabaattaniif kottaa waltajjii irratti waliin mari'annuu,1,3,0,0,0,0
orm_train_track2_81,Hin beeeksifne sirbaaa YouTube gubbbaaa tasaaa agarrre,0,0,0,0,0,3
orm_train_track2_82,Baga geessan Ayyana sooma hiikka Kan Bara 1443 ayyaana gaarii.,0,0,0,2,0,0
