text_id,text,Disgust,Sadness,Anger,Surprise,Joy,Fear
swahili_A1_00001,Kupretend wewe ni mgonjwa ndio ulale dorm&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,0,0,0,0,0,0
swahili_A1_00002,"LMFAO sasa nikisema nimeacha pombe naambiwa ni cover ndio nipewe mizinga niwekange :""D",0,0,0,2,0,0
swahili_A1_00003,Hiyo video ya transline iko wapi!,0,0,2,0,0,0
swahili_A1_00004,Anyway at the end of the day si ni sawa ama?,0,0,0,0,0,0
swahili_A1_00005,Watu walipata degree ya Arizona wanaitumia kupata kazi wapi ?,0,0,0,0,0,0
swahili_A1_00006,Karibu simu iende bro hao snatchers ni hatari💀 Sasa ata nilishukisha dirisha why smh,0,0,0,0,0,3
swahili_A1_00007,Short people.. Huwa mnatoa wapi hiyo hasira yenye mko nayo?,0,0,0,0,0,0
swahili_A1_00008,Hawa watu hupimwa wapi bana👀👀👀ama izi cases zinareportiwa police station😂😂,0,0,0,2,0,0
swahili_A1_00009,@Chiira Kama sina food huku mimi hukaa mpaka hio 5 pm ndio niende duka juu unaeza nuka nyamchom. Nafaa nitoke kesho na ni kama nitatoka 6am kabla jua itokee lol,0,0,0,0,0,0
swahili_A1_00010,Boys anachange avi more than twice a day lol...Hao ndo wale wa kujipaka lotion,0,0,0,1,0,0
swahili_A1_00011,Kuna madem bado huingia box via text?,2,0,0,0,0,0
swahili_A1_00012,Alafu niwaulize ile rangi ukuwa kwa sabuni ukioga huwa inaenda wapi!??,0,0,0,1,0,0
swahili_A1_00013,"Ni Wakati Wa #DriveOnRealoded Tunasema Karibu sana Alhamisi Tulivu kwa Burudani Isiyo Kifani @OgalTina ,@MunaiGenerali",0,0,0,0,0,0
swahili_A1_00014,Mmesema ni tremor sio earthquake. Yes?,0,0,0,3,0,0
swahili_A1_00015,Ikabidi sherehe ikue cut shot due to sudden financial constraints hahaha nilikua na fare yetu sisi wawili mpaka juja so we was good,0,0,0,0,2,0
swahili_A1_00016,Lakini mimi nayo ata madem kumi hawawes nichapa hivo,2,0,0,0,0,0
swahili_A1_00017,Naishi in fear. Any call napata ni enjoyment na mihadarati. Akuna ata mtu ananipigia aniambie how to grab land?,0,2,0,0,0,3
swahili_A1_00018,#MainaAndKingangi @ItsMainaKageni KINDLY send my special shout out to MADEM WOTE BESTLADY COSMETICS ELDORET Happy Wololo Wednesday,0,0,0,0,2,0
swahili_A1_00019,Huwa mnaprotect tweets ndio nini isiibwe???,0,0,0,0,0,0
swahili_A1_00020,@CarlOkari Asante kwa maoni yako ^Jamo,0,0,0,0,0,0
swahili_A1_00021,@Asamoh_ Unacheka kwa mazishi wee nugu,0,0,3,0,0,0
swahili_A1_00022,Ahsante kwa kuchagua ku #ChapaKazi na @SyombuaMwele na @JeridahAndayi . You are in the right company for a fruitful workday. Nrb 106.7FM,0,0,0,0,2,0
swahili_A1_00023,Kura kwa Lendrix,0,0,0,0,0,0
swahili_A1_00024,@ItsJobu Haha mimi uskia kucheka unajua i was olaying lowkey huyo jamaa alikuwa ananitusi daily kisha akaniita ungreatful cunt na ata mi i was minding my business ..but juu ni kilunda hana makosa 🤭,0,0,0,0,2,0
swahili_A1_00025,Zarika anapenda Chini kwa Chini #NairobiFightNight,0,0,0,0,3,0
swahili_A1_00026,"leo nimeamka 4 nikaview status one two ,hapo nikaview status za ex wamine ,then nikarudi kulala sema nilimuota ,now I have been thinking all along and ...",0,0,0,0,0,0
swahili_A1_00027,Denno giving us sex tips na yeye mwenye hangejisaidia hahaha,0,0,0,2,0,0
swahili_A1_00028,Sasa awa motherfuckers watakam return leg ya premier league na psych juu wanajua wanaeza tushinda,0,0,2,0,0,0
swahili_A1_00029,Lovely comrades  kesho pia n siku kwa Mungu,0,0,0,0,0,0
swahili_A1_00030,"@SannieSanford he he..anyway jokes aside, hebu ni whatsapp ASAP..kuna mazuri mahali",0,0,0,0,3,0
swahili_A1_00031,"#NenoLaLeo Zaburi 20:5 Tutashangilia kwa ajili ya ushindi wako,jitayarishe kushukuru Mungu mwezi huu.@EvaMwalili @Milele_FM #BarakaZaMilele",0,0,0,0,3,0
swahili_A1_00032,"Kuvuka barabara haitakagi mbogi, ni personal affair",0,0,0,0,0,0
swahili_A1_00033,Si kuna mtu asha confirm ni nani huyo ametuacha sasa mnataka Maina aseme nini ingine?,0,2,0,0,0,0
swahili_A1_00034,"Walisema dawa y sura mbaya n make-up,,,my sister usifanye juu wtu wanafanya juu some of us look like american amadillo😉",0,0,0,0,0,0
swahili_A1_00035,Heh jana nilikua nimelegea sana . Jeso!   Whisky river ni choo sitawahi rudi tena nkt!,0,0,0,2,0,0
swahili_A1_00036,@UKenyatta TUKO PAMOJA ALWAYS KUSEMA NA KUTENDA UHURU TANO TENA,0,0,0,0,0,0
swahili_A1_00037,President akikagua gwaride. Ni nini huwa anakagua specifically?🤣🤣,0,0,0,0,2,0
swahili_A1_00038,ati mmesema wazazi wa kimpembe walikuwa wanalala room yake wakiogopa usiku,0,0,0,0,0,3
swahili_A1_00039,Skinny chic hamjaonana for some time alafu mkipatana anakurukia ati ni hug alafu unajipata umekamata ak47.,0,0,0,0,2,0
swahili_A1_00040,@CedricAnami @parariraah @ednyagaka Machef wenu wote ni madem pia?,0,0,0,1,0,0
swahili_A1_00041,@AndyOboskyz Watu tunatafuta dawa ya corona wee uko hapa unalia unaloose followers ama wee ni yesu ni disciples unawaloose,0,0,2,0,0,0
swahili_A1_00042,Ni pombe gani huyo alikunywa ikaonyesha yeye huyo mama nisiwahi kunywa ?,0,0,0,0,0,0
swahili_A1_00043,Tafteni pesa vijana hizo rangi za mwili sio zenu ni shida tuu...,0,2,0,0,0,0
swahili_A1_00044,Kesho ni thika road drops by 10:00 nikuwe nimemaliza siku,0,0,0,0,0,0
swahili_A1_00045,Jana ndio nilijua ni ukweli kuna class hehe kuna watu wenye sisi hujua kutafta pesa na kuna wale wanajua kutumia pesa,0,0,0,2,1,0
swahili_A1_00046,Now Singing ULINIIMBIE TENA By Saints Ministers #HymnalSunday #WinguLaBaraka,0,0,0,0,2,0
swahili_A1_00047,@mwaurq CS ENVIRONMENT MOTO WA KUOTEA MBALI SANA,0,0,0,0,0,0
swahili_A1_00048,Mwenye izo BJ50 Laikipia anafaa kufungwa Nyayo House afinywe makei na pliers. Izo ni aibu gani anatupea?,0,1,3,0,0,0
swahili_A1_00049,Lakini hii story ya El Niño mnaona ikikuwa? Hii jua si ile ya mvua.,0,0,0,2,0,0
swahili_A1_00050,"@Kianangih Na vile some babe akiandika thread huku ,but nilijua Tu ni wewe unasemwa 🤣🤣🤣🤣",0,0,0,0,0,0
swahili_A1_00051,Kwa relationship after break up kila mtuu husema vile alikuwa mzuri na vile partner wake alifanya mbayaa 😂😂,0,0,0,0,0,0
swahili_A1_00052,Maadhimisho ya Siku ya Afya ya Akili duniani.,0,0,0,0,0,0
swahili_A1_00053,"@Patienc17412976 MGANGA WA WAGANGA DAKTARI DAUDA, MAPENZI, BIASHARA, KINGA ZA BOMA, KUPATA MIMBA AU MTOTO, KESI KOTINI, KIFAFA, WIN BETTING, LOST ITEMS, FAMILY ISSUES, GET VISA, JOB PROMOTIONS, CALL ME ON, +254701212158",0,0,0,0,0,0
swahili_A1_00054,"Most liquor store owners huku, no creativity at all, unapata almost all of them zinaitwa, 'The Liquor store ' ni Font tu wanabadilisha",0,2,0,0,0,0
swahili_A1_00055,Kwani watu wote wenye huwa na vipara huvaa miwani?,0,0,0,3,0,0
swahili_A1_00056,Form nikubuy mbwenya zingine juu izi zikifuliwa zinaeza kauka December,0,3,0,0,0,0
