text_id,text,Anger,Disgust,Sadness,Joy,Fear,Surprise
som_train_track2_1,Intaaan kusooo ordayay barnaaamijkan Hosow intaaa dawanayyy😓Aabahayyy ooo soman khamiiista maaanta anooo afur usameynaya😓eeerfono dhaga igu jiro 3:47 qosolkaaan us dhahayyy ayaaaba mobilkiii iyo suuugadiiiba dhulka Ku dhaceeen😓wlllhi omg 😱 1hr iyo 30minute Ka hadhayyy dib mud kal,0,0,0,2,0,0
som_train_track2_2,Faaaiza Ahmed Izzze hdaaanba arkeee iga daba geee fbga mxaaa dhacay,0,0,0,0,0,0
som_train_track2_3,Waxaaan ogaaaday geeeri murugo leh o u geeeriyoday Ibraaahim Hadraaawi o ka mid ahaaa abwaaannnada caaanka ah eee SomalidaWaxan u rajaynaya abwanka inu allle naxariiistiii jano ka warabiyo ehelki u ka tagay iyo dhammmaaan shacabka Somaliyeeedna waxan uga tacsiyeynayaaa geeerida ku timid abwaaanka URL,0,0,2,0,0,0
som_train_track2_4,Walal cumar inshar waxa jira hadal usheeegay ibnu taymiyah ooo dayax madobaaadka waxaudhaca 14   bisha hijriga,0,0,0,0,0,0
som_train_track2_5,Wlhi xogtan 1000% waaa sax sidiii aaan horay ugu daaawaday dhacdadan thnks bro taxanaha xiga waxad noooga dhigtaaa isku daygiii CIA eee dilkiii GEn. Caydiiid eee zomalia,0,0,0,1,0,0
som_train_track2_6,"Runtiii waaa Jilaaa majaaajiliiiste ah, iyada kaliya ayaaaba jili karta Ruwaaayada waaaba dhowr qof, Maaashaaa Alllah Horay usoco Naciiima, Alllah Yaxfidak, isku filan ayaaanba dhihi lahaaa!!!.",0,0,0,2,0,0
som_train_track2_7,USER Dadka qaaarkoood ma Kala garanayaaan doooda iyo caydaMarka hala yaaabin hadaaad aragto qofka Iska ka caynaaayo  Fakar kala duwnanshuhu kama dhigno in personal atttack laysku sameeeyo iyadooo la adeeegsanayo erayo xadgudub ah  Thanks,0,0,0,0,0,0
som_train_track2_8,Daaacadnimada madaxda Qaranku waxay sababtay in dalka qeybo badan ooo muhiiim ah wax kayar 5 biloood loooga xoreeeyo Khawaaarijta ooo in mudddo ah ka macaaashayay dhiiiggga iyo dhaqaaalaha dadkeeennnaMadaxwayne USER iyo USER waaa dal xoreeeyayaaal  URL,0,0,0,0,0,0
som_train_track2_9,Abiy Ahmed: 'Ma rabo inaan la dagaalo Soomaaliya',0,0,0,0,0,0
som_train_track2_10,Wlll nooo sooogudbi abu dauuudkiii ku jiray aaamina al mufti   dhawr jeeerna waaan kaaadal baday mahadsanid,0,0,0,0,0,0
som_train_track2_11,Walahay aaad ayaaan ula dhacay mansha ALLLAAAH,0,0,0,2,0,0
som_train_track2_12,sxb fadlan haaad aragtid   qoralkan hah kajeysenan fudlan subscribe   isar   mahadsanid,0,0,0,0,0,0
som_train_track2_13,Maxaaa ka qurux badan in aaad aaamusnaaatid marka uuu qofi u maleynayo in aaad u careysan tahay maxaaase ka qurux badan in aaad qososhid marka uuu qofi u maleynayo in aaad ilmada ceshan ladahay  Mohamud DarwishDuluc Maxaaa ka qurux badan in aaad tahay mid aaan la maleyn karin,0,0,0,0,0,0
som_train_track2_14,Videoga qofkiii duuubay hadiyad ayuuu leeeyahay wlahi Qurux saaaida weeeye,0,0,0,2,0,2
som_train_track2_15,Ck walashisaaa kufsi udhimate nin walashiiis u aaari waaaye inuuu rag lahadlo ma banaaano magdhawgiii walashiiis buuu kusooo tahriiibe waaaku aqaaan ck rer madina isla ahen eee kaxishow raga naaag batahaye,2,2,0,0,0,0
som_train_track2_16,Marka xilka iyo qofka u qalma ay is helaaan maxsuuulkan ayaaa ka dhasha  Illlahay waxan ka baryayaaa inay fusho  Si dadka reeer Somalia ay ugu yaraaan uga baaaqsadaaan abaaaro dabadheeeraaada xalkuna usooo dhawaaado  URL,0,0,0,0,0,0
som_train_track2_17,"Gabadha 5 ta sana jirto waxaaad dhahdaaa uuurkan waaa ilmo ku mataaansanaaa markeee calooosha hoooyadeeed ku jirtay isla markaaana gudaheeed Kusiii abuuurmay, si kale Macquuul uma ahan",0,0,0,0,0,0
