text_id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
mozambique_3_00001,Ministro sul-africano da Justiça vai enfrentar pedido americano de rever extradição de Manuel Chang,0,0,0,0,0,0
mozambique_3_00002,"Cientistas egípcios revelam o segredo da ""múmia que grita""",0,0,0,0,0,2
mozambique_3_00003,Ano de 2014 foi o mais quente desde 1880,0,0,0,0,0,2
mozambique_3_00004,Brasil exibe novela de Angola pela primeira vez,0,0,0,0,0,2
mozambique_3_00005,Polícia em Sofala anuncia fim de escoltas militares no troço Muxúnguè-Save,0,0,0,0,0,0
mozambique_3_00006,Cazaquistão adotará o alfabeto latino após mais de 70 anos,0,0,0,0,0,2
mozambique_3_00007,Moçambique e Tanzânia terão operações conjuntas contra os insurgentes de Cabo Delgado,0,0,0,2,0,0
mozambique_3_00008,"Cores, ritmos e arte mostram a cara do Brasil",0,0,0,1,0,0
mozambique_3_00009,"Governo deve investigar “urgentemente” os crimes de guerra em Cabo Delgado, Amnistia Internacional",0,0,0,0,0,0
mozambique_3_00010,Coligação cívica prepara acção contra instituições moçambicanas por não ceder informações,0,0,0,0,0,0
mozambique_3_00011,Interpol emite alerta contra dirigentes de futebol e executivos,0,0,0,0,0,0
mozambique_3_00012,"Com o colapso da paz e da subsistência, Ásia Central se prepara para mais casos de trabalho forçado e escravidão sexual",0,3,0,0,0,0
mozambique_3_00013,Defesa pede libertação imediata de filho e antiga secretária do antigo Presidente Guebuza,0,0,0,0,0,0
mozambique_3_00014,Moçambicanos recorrem a escolas privadas por falta de vagas no ensino público,0,0,0,0,0,0
mozambique_3_00015,Guineenses pedem a demissão do Presidente da República,0,0,0,0,0,0
mozambique_3_00016,19 de Agosto: Mundo homenageia milhares de trabalhadores humanitários,0,0,0,2,0,0
mozambique_3_00017,Antigo ministro da Justiça de Moçambique condenado a dois anos de prisão,0,0,0,0,0,0
mozambique_3_00018,Oficina de lâmpada a óleo de 1.700 anos é encontrada em Israel,0,0,0,0,0,2
mozambique_3_00019,Grupo extremista brasileiro jura lealdade ao Estado Islâmico,0,0,0,0,0,0
mozambique_3_00020,Republicano é eleito nos EUA depois de morto,0,0,0,0,0,2
mozambique_3_00021,Moçambique: Manica continua corredor de imigrantes ilegais,0,0,0,0,0,0
mozambique_3_00022,Brasil cria clone de vaca ameaçada de extinção,0,0,0,0,0,2
mozambique_3_00023,"“Quero ajudar a colocar a música de Moçambique no mundo”, Chico Matada",0,0,0,1,0,0
mozambique_3_00024,COVID-19/ Brasil: São Paulo vai desenterrar ossadas para criar espaço em cemitérios,0,0,0,0,0,0
mozambique_3_00025,Embate Mourinho vs Guardiola dá vantagem ao treinador espanhol,0,0,0,0,0,0
mozambique_3_00026,Polícia desaconselha espectáculo na ponta da Restinga,0,0,2,0,0,0
mozambique_3_00027,Há músicas proibidas e vozes desaparecidas em Angola,0,0,0,0,2,0
mozambique_3_00028,"Com a tragédia de Ayotzinapa, estará a história a repetir-se no México?",0,0,0,0,0,0
mozambique_3_00029,O cometa do século fascina ao passar perto da Terra,0,0,0,0,0,2
mozambique_3_00030,"Revivendo o Bokator, antiga arte marcial do Camboja",0,0,0,0,0,0
mozambique_3_00031,As causas do declínio econômico em Madagascar,0,0,0,0,0,0
mozambique_3_00032,Procuradores retiram queixas contra actor Jussie Smollett,0,0,0,0,0,0
mozambique_3_00033,Jornalista e activista angolano Rafael Marques volta ao banco dos réus por investigar corrupção,2,0,0,0,0,0
mozambique_3_00034,Proprietários de creches e jardins de infância declaram falência na Huíla,0,0,0,0,2,0
mozambique_3_00035,Moçambicanos retaliam sul-africanos,2,0,0,0,0,0
mozambique_3_00036,Fundo do mar Negro esconde cidade submersa de 6.000 anos,0,0,0,0,0,2
